종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"051915","LG화학우","KOSPI","화학","152500","2000","1.33","1163410452500"
"002550","LIG손해보험","KOSPI","보험","32950","500","1.54","1977000000000"
"006260","LS","KOSPI","서비스업","80900","1100","1.38","2604980000000"
"000680","LS네트웍스","KOSPI","유통업","4865","40","0.83","376940292435"
"000685","LS네트웍스우","KOSPI","유통업","43200","2100","5.11","660268800"
"000687","LS네트웍스전환상환2우B","KOSPI","유통업","4650","0","0.00","6128039700"
"010120","LS산전","KOSPI","전기전자","65700","-1100","-1.65","1971000000000"
"023150","MH에탄올","KOSPI","음식료품","2990","-5","-0.17","20930000000"
"035420","NAVER","KOSPI","서비스업","724000","-10000","-1.36","23864979596000"
"181710","NHN엔터테인먼트","KOSPI","서비스업","96400","-100","-0.10","1461908410000"
"016420","NH농협증권","KOSPI","증권","4985","-135","-2.64","598823269565"
"034310","NICE","KOSPI","서비스업","11800","150","1.29","447011140000"
"008260","NI스틸","KOSPI","철강금속","1855","10","0.54","52731806750"
"004250","NPC","KOSPI","화학","5000","50","1.01","183600000000"
"004255","NPC우","KOSPI","화학","1740","-10","-0.57","9187200000"
"010060","OCI","KOSPI","화학","191000","4000","2.14","4555229861000"
"005490","POSCO","KOSPI","철강금속","326500","-2500","-0.76","28466501627500"
"100840","S&TC","KOSPI","기계","16700","50","0.30","118313020400"
"000040","S&T모터스","KOSPI","운수장비","438","-2","-0.45","52271524002"
"064960","S&T모티브","KOSPI","운수장비","27300","300","1.11","393212437800"
"003570","S&T중공업","KOSPI","운수장비","12750","350","2.82","414036347250"
"036530","S&T홀딩스","KOSPI","서비스업","16250","300","1.88","242505623750"
"010950","S-Oil","KOSPI","화학","74000","500","0.68","8331126608000"
"010955","S-Oil우","KOSPI","화학","52700","0","0.00","211955552900"
"950100","SBI모기지","KOSPI","기타금융","11600","400","3.57","275395600000"
"034120","SBS","KOSPI","서비스업","41600","1450","3.61","759307411200"
"101060","SBS미디어홀딩스","KOSPI","서비스업","5260","260","5.20","735853959400"
"004060","SG세계물산","KOSPI","유통업","623","3","0.48","126110750080"
"001380","SG충남방적","KOSPI","섬유의복","1540","55","3.70","64291103800"
"002360","SH에너지화학","KOSPI","화학","724","-3","-0.41","80460820520"
"002365","SH에너지화학우","KOSPI","화학","90900","-3100","-3.30","565398000"
"009160","SIMPAC","KOSPI","기계","6960","-20","-0.29","202431078000"
"123700","SJM","KOSPI","운수장비","10900","-50","-0.46","170093388200"
"025530","SJM홀딩스","KOSPI","서비스업","4950","-15","-0.30","73923339600"
"003600","SK","KOSPI","서비스업","191000","2000","1.06","8969706092000"
"034730","SK C&C","KOSPI","서비스업","135000","3000","2.27","6750000000000"
"011790","SKC","KOSPI","화학","30550","50","0.16","1106370174650"
"018670","SK가스","KOSPI","유통업","74900","-800","-1.06","646287008500"
"001740","SK네트웍스","KOSPI","유통업","7560","50","0.67","1876298611320"
"001745","SK네트웍스우","KOSPI","유통업","13500","-200","-1.46","1534248000"
"003605","SK우","KOSPI","서비스업","77500","0","0.00","39518800000"
"096770","SK이노베이션","KOSPI","서비스업","141500","1000","0.71","13083877306000"
"096775","SK이노베이션우","KOSPI","서비스업","65000","-600","-0.91","81147690000"
"001510","SK증권","KOSPI","증권","709","1","0.14","226963074239"
"001515","SK증권우","KOSPI","증권","689","0","0.00","2695722146"
"006120","SK케미칼","KOSPI","화학","55200","-200","-0.36","1150536194400"
"006125","SK케미칼우","KOSPI","화학","16300","-150","-0.91","45919137500"
"017670","SK텔레콤","KOSPI","통신업","230000","2500","1.10","18571513530000"
"000660","SK하이닉스","KOSPI","전기전자","36800","150","0.41","26135392788800"
"011810","STX","KOSPI","유통업","2580","-100","-3.73","158609622840"
"077970","STX엔진","KOSPI","기계","4600","-155","-3.26","226312791800"
"067250","STX조선해양","KOSPI","운수장비","6700","40","0.60","236498254900"
"071970","STX중공업","KOSPI","기계","3220","-10","-0.31","368075034740"
"028670","STX팬오션","KOSPI","운수창고업","762","0","0.00","156864113754"
"002710","TCC동양","KOSPI","철강금속","3480","25","0.72","62640000000"
"011000","VGX인터","KOSPI","유통업","1250","10","0.81","69743102500"
"024070","WISCOM","KOSPI","화학","4925","-25","-0.51","74002656000"
"000500","가온전선","KOSPI","전기전자","19100","200","1.06","79462627700"
"035250","강원랜드","KOSPI","서비스업","30950","0","0.00","6621458475000"
"000860","건설화학","KOSPI","화학","28050","-150","-0.53","182325000000"
"000800","경남기업","KOSPI","건설업","3515","5","0.14","55547994920"
"008020","경남에너지","KOSPI","전기가스업","5990","-60","-0.99","178485587400"
"002100","경농","KOSPI","화학","3545","0","0.00","76897253750"
"012320","경동가스","KOSPI","전기가스업","98100","3100","3.26","341858880000"
"009450","경동나비엔","KOSPI","전기전자","17450","-50","-0.29","222304449500"
"000050","경방","KOSPI","섬유의복","109000","0","0.00","271660482000"
"012610","경인양행","KOSPI","화학","4150","30","0.73","167644914750"
"009140","경인전자","KOSPI","전기전자","16450","-50","-0.30","25839610650"
"013580","계룡건설","KOSPI","건설업","8250","160","1.98","73679982750"
"012200","계양전기","KOSPI","기계","2860","-5","-0.17","93236000000"
"012205","계양전기우","KOSPI","기계","1615","5","0.31","2261000000"
"004200","고려개발","KOSPI","건설업","2020","20","1.00","40400000000"
"002140","고려산업","KOSPI","음식료품","1150","5","0.44","28680338750"
"010130","고려아연","KOSPI","철강금속","318000","2000","0.63","6000660000000"
"002240","고려제강","KOSPI","철강금속","37350","0","0.00","560250000000"
"009810","고려포리머","KOSPI","유통업","472","2","0.43","13310736064"
"119250","골든나래리츠","KOSPI","서비스업","228","6","2.70","12226477200"
"001290","골든브릿지증권","KOSPI","증권","849","0","0.00","79582769883"
"009290","광동제약","KOSPI","의약품","7460","210","2.90","391059548460"
"017040","광명전기","KOSPI","전기전자","1985","10","0.51","86025165775"
"017900","광전자","KOSPI","전기전자","2135","80","3.89","123709934005"
"037710","광주신세계","KOSPI","유통업","252500","1500","0.60","404000000000"
"140910","광희리츠","KOSPI","서비스업","4100","-20","-0.49","14877813500"
"030610","교보증권","KOSPI","증권","4420","0","0.00","159120000000"
"007690","국도화학","KOSPI","화학","55500","1600","2.97","322489188000"
"005320","국동","KOSPI","유통업","1820","5","0.28","8310582280"
"001140","국보","KOSPI","운수창고업","11200","0","0.00","11505804800"
"002720","국제약품","KOSPI","의약품","1890","-70","-3.57","29178670500"
"014530","극동유화","KOSPI","화학","24550","-300","-1.21","85604426100"
"002250","근화제약","KOSPI","의약품","24450","-50","-0.20","119560157700"
"014280","금강공업","KOSPI","철강금속","16800","-300","-1.75","81580195200"
"014285","금강공업우","KOSPI","철강금속","12500","0","0.00","1474687500"
"008870","금비","KOSPI","비금속광물","29500","150","0.51","29500000000"
"001570","금양","KOSPI","화학","1145","-20","-1.72","45059537660"
"002990","금호산업","KOSPI","건설업","11750","1500","14.63","375937161000"
"002995","금호산업우","KOSPI","건설업","11800","1500","14.56","3448738800"
"011780","금호석유","KOSPI","화학","95200","800","0.85","2900524183200"
"011785","금호석유우","KOSPI","화학","34750","700","2.06","105066138500"
"001210","금호전기","KOSPI","전기전자","26200","3400","14.91","181200536200"
"073240","금호타이어","KOSPI","화학","11500","-50","-0.43","1699828777000"
"092440","기신정기","KOSPI","기계","7340","0","0.00","214328000000"
"000270","기아차","KOSPI","운수장비","56100","200","0.36","22740883766700"
"024110","기업은행","KOSPI","은행","12150","150","1.25","6684869310750"
"004540","깨끗한나라","KOSPI","종이목재","4950","-50","-1.00","120536524350"
"004545","깨끗한나라우","KOSPI","종이목재","5390","10","0.19","1973602400"
"007460","나라케이아이씨","KOSPI","기계","2485","-10","-0.40","25907434595"
"001260","남광토건","KOSPI","건설업","8330","-170","-2.00","64331906940"
"008350","남선알미늄","KOSPI","철강금속","621","3","0.49","68421214890"
"008355","남선알미우","KOSPI","철강금속","3345","-60","-1.76","1029892050"
"004270","남성","KOSPI","유통업","8500","100","1.19","30780336000"
"003920","남양유업","KOSPI","음식료품","940000","15000","1.62","676800000000"
"003925","남양유업우","KOSPI","음식료품","309000","2000","0.65","51498558000"
"002070","남영비비안","KOSPI","섬유의복","6400","120","1.91","43954848000"
"025860","남해화학","KOSPI","화학","6900","160","2.37","342784016700"
"005720","넥센","KOSPI","서비스업","77900","-1900","-2.38","396356524300"
"005725","넥센우","KOSPI","서비스업","23700","150","0.64","8533422000"
"002350","넥센타이어","KOSPI","화학","14550","150","1.04","1381089783000"
"002355","넥센타이어1우B","KOSPI","화학","4025","-15","-0.37","26162500000"
"110570","넥솔론","KOSPI","전기전자","856","-64","-6.96","104438553536"
"090350","노루페인트","KOSPI","화학","5110","-10","-0.20","102200000000"
"090355","노루페인트우","KOSPI","화학","5130","0","0.00","2375836380"
"000320","노루홀딩스","KOSPI","서비스업","16350","-150","-0.91","215797289850"
"000327","노루홀딩스2우B","KOSPI","서비스업","14300","50","0.35","1323322000"
"000325","노루홀딩스우","KOSPI","서비스업","11850","350","3.04","2195212500"
"006280","녹십자","KOSPI","의약품","124500","-1000","-0.80","1454973981000"
"005250","녹십자홀딩스","KOSPI","서비스업","12450","-50","-0.40","585501214500"
"005255","녹십자홀딩스1우","KOSPI","서비스업","13350","0","0.00","22279414500"
"005257","녹십자홀딩스2우","KOSPI","서비스업","12500","0","0.00","10574875000"
"004370","농심","KOSPI","음식료품","251000","1500","0.60","1526743142000"
"072710","농심홀딩스","KOSPI","서비스업","79000","300","0.38","366385410000"
"023590","다우기술","KOSPI","서비스업","15150","350","2.36","679729247550"
"020120","다우인큐브","KOSPI","유통업","3050","30","0.99","48289274450"
"015590","대경기계","KOSPI","기계","1700","10","0.59","93057813000"
"019680","대교","KOSPI","서비스업","7300","130","1.81","618330805000"
"019685","대교우B","KOSPI","서비스업","3525","5","0.14","68480139750"
"006375","대구백화우","KOSPI","유통업","112000","500","0.45","479584000"
"006370","대구백화점","KOSPI","유통업","19800","400","2.06","214267897800"
"004130","대덕GDS","KOSPI","전기전자","17550","50","0.29","361102008150"
"004135","대덕GDS우","KOSPI","전기전자","7800","110","1.43","16848000000"
"008060","대덕전자","KOSPI","전기전자","8330","-10","-0.12","406473179000"
"000490","대동공업","KOSPI","기계","6000","120","2.04","142369260000"
"008110","대동전자","KOSPI","전기전자","3080","110","3.70","32310576760"
"005750","대림B&Co","KOSPI","비금속광물","2595","-5","-0.19","38925000000"
"000210","대림산업","KOSPI","건설업","94100","1200","1.29","3274680000000"
"000215","대림산업우","KOSPI","건설업","30500","-100","-0.33","115900000000"
"006570","대림통상","KOSPI","기계","4255","0","0.00","64782375000"
"001680","대상","KOSPI","음식료품","38400","1400","3.78","1321404480000"
"001689","대상3우B","KOSPI","음식료품","29100","0","0.00","6880695000"
"001685","대상우","KOSPI","음식료품","10700","350","3.38","14661386100"
"084690","대상홀딩스","KOSPI","서비스업","8320","-80","-0.95","301288316160"
"084695","대상홀딩스우","KOSPI","서비스업","4385","50","1.15","4005618570"
"128820","대성산업","KOSPI","유통업","4525","-45","-0.98","129485988200"
"117580","대성에너지","KOSPI","전기가스업","5330","-90","-1.66","146575000000"
"005620","대성합동지주","KOSPI","서비스업","26350","450","1.74","47405678950"
"016710","대성홀딩스","KOSPI","서비스업","8980","0","0.00","144483341820"
"003540","대신증권","KOSPI","증권","7850","100","1.29","398571190000"
"003547","대신증권2우B","KOSPI","증권","5050","-30","-0.59","50500000000"
"003545","대신증권우","KOSPI","증권","5570","0","0.00","144820000000"
"009190","대양금속","KOSPI","철강금속","1095","-20","-1.79","60761187555"
"014160","대영포장","KOSPI","종이목재","726","5","0.69","68962543980"
"047040","대우건설","KOSPI","건설업","7370","210","2.93","3063138842060"
"009320","대우부품","KOSPI","전기전자","995","-2","-0.20","37712775565"
