,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,유보이익대총자산비율,자기자본비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
39,(주)휴먼엔,32860,13-Dec,"수도, 하수 및 폐기물 처리, 원료 재생업",419.51,-14.41,-8.2,-16.71,-4.26,2.39,-67.19,-13.85,9.01,-15.78,1.77,-139.86,13.96,5.34,483.57,55.23,63.76,40.91,-32.18,0.0006991251081718408,2.16,-25.5,197234277.0,-7.75,107.75,58.55,9.9,0.8286396996965795,-0.3138090830408026,0.17136030030342053,0.042256372101082615,3.518585551814848,8.06744383927285,-2.993190500094056,-14.148471775781035,8.309061703574926,-0.21195259523468932,-0.31191400788693985,0.049770748804094544,-840.3240643988927,-103.81449024290468
41,대한그린파워(주),60900,13-Dec,"전기, 가스, 증기 및 공기조절 공급업",110.41,-57.16,6.83,3.15,-1.49,5.28,-179.83,2.33,1.44,-12.29,0.38,-72.78,3.13,9.63,283.88,101.25,96.1,68.7,0.36,0.000591638780935211,0.54,-21.73,20265218.0,5.12,94.88,57.74,3.7,0.739503303896631,-0.2599777037754075,0.26049671295869453,0.23468684126664713,2.7209868791443674,7.773262855814982,-5.631300525947658,-0.43159862607251576,-24.14048992700234,-0.0697664761410812,-0.3098283764786172,0.04689184953796982,-339.7428590348168,-103.5751316644125
43,울트라건설(주),4320,13-Dec,건설업,394.46,1.0,14.82,30.92,2.28,0.82,319.4,25.01,15.82,16.22,1.47,9.45,0.0,32.91,422.84,67.73,179.22,64.54,-24.34,0.014987471534145954,1.74,1.46,639072250.0,0.0,0.0,0.0,0.0,0.8087368056570449,0.0032999720955222255,0.19126319434295508,0.029424197342319276,2.556608550949799,8.578232596819323,16.39503694097517,-34.711654353280565,46.806779327449966,0.03915391202677413,0.01729822797479478,0.017203625075815725,29.29459290164438,49.34435540353564
1,(주)디아이디,74130,14-Dec,제조업,0.0,-15.07,-15.38,-24.16,-5.75,1.44,56.72,-25.92,16.53,23.74,1.48,0.0,11.94,4.05,0.0,22.46,0.0,20.99,-73.26,0.06582045659827017,1.54,-22.24,155675835.0,-4.46,104.46,81.24,43.58,1.072757458948597,-0.3275247037159376,-0.07275745894859703,0.056037618169833485,-10.827084768581129,7.965441531912518,-142.33536929941417,-55.37188287560764,-74.02723408125411,-0.14856900045966356,-0.23244011374084156,0.025853619719680313,38.83392533278235,43.714030530783845
3,(주)브이티지엠피,18290,14-Dec,제조업,271.18,-6.74,1.95,1.75,0.12,6.42,35.25,1.32,1.75,13.32,0.68,-16.97,5.01,1.76,309.89,88.65,63.27,22.62,-7.51,0.0001900281658667314,0.93,-4.58,53824611.0,14.47,85.53,56.84,1.59,0.7560347318736491,-0.1083204629965299,0.24396526812635091,0.1363751054327174,1.6949119821091552,7.901020951418127,-16.755402660275585,3.1941165618851963,2.3162144190773226,0.005657565871323917,-0.06275675062769853,0.04773216932876569,-73.96103514949621,-408.3085634847396
5,(주)시너지이노베이션,48870,14-Dec,제조업,187.71,-59.69,4.5,2.62,-1.66,3.16,-209.85,1.73,3.78,-11.1,0.35,-51.28,6.01,6.72,193.68,57.76,332.99,45.53,-27.0,0.0006832553521141098,0.59,-20.9,29651641.0,11.51,88.49,55.09,4.79,0.6594894997977138,-0.5716048698794021,0.3405105002022863,0.2521418966322977,1.8524919749874336,7.888256463406457,-38.35059770547118,-22.83843354518319,-1.8323882616441578,-0.04799400486780332,-0.352779523061481,0.028855027848346298,67.00427449308896,55.04853818521639
7,(주)신양오라컴디스플레이,86830,14-Dec,제조업,320.12,-11.91,-19.25,-42.51,-6.37,1.46,27.79,-33.42,14.83,8.88,1.57,-106.03,6.95,4.44,367.61,71.09,123.94,56.42,-19.79,0.004595305459711934,1.9,-18.67,99132952.0,4.61,95.39,49.75,15.8,0.7861468788914889,-0.3481682264079429,0.21385312110851107,0.1593251253125197,2.400248251485747,7.7567503940386375,21.455825962823315,-7.083449223379867,-32.4532010628373,-0.17746583404851893,-0.22657028133597581,0.027871821528509217,61.38917547486381,61.62083322037262
9,(주)씨에스,65770,14-Dec,제조업,275.89,-20.95,-0.49,-0.67,1.96,2.48,-50.44,-0.5,14.21,-20.61,1.04,-87.26,12.07,3.01,303.21,52.09,345.25,34.23,-32.78,0.0012003364778157388,1.39,-21.81,85267847.0,16.79,83.21,55.49,10.21,0.7519875705305584,-0.11797980893653663,0.24801242946944163,0.09567232300353497,2.594805360943586,7.921811700675044,2.3972714637602532,3.903051796468726,65.50308287602901,0.07512772117094392,-0.2906870739364876,0.038372350817996,244.33509261663144,-87.1925883593333
11,(주)씨엘인터내셔널,37340,14-Dec,제조업,53.09,-24.0,-8.15,-11.26,-3.06,2.43,38.76,-4.99,0.95,3.78,0.65,-27.11,4.07,6.07,79.47,116.19,82.97,94.92,4.79,0.04596507728017654,1.54,-15.64,21050295.0,36.43,63.57,30.14,15.64,0.44280281586709314,-0.9799217716574592,0.5571971550837035,0.49626800954570943,1.1779024626832875,7.536865773897066,6.033379493965896,6.637721158673604,-3.0141981538216567,-0.08595415941803095,-0.36953879460638595,0.028076597718171496,-118.53847873100618,68.54328149708115
13,(주)아이앤씨테크놀로지,52860,14-Dec,제조업,3.72,-255.42,-114.38,-51.58,-37.65,-0.85,-54.95,-9.34,0.83,-11.35,0.07,-22.63,6.19,0.38,22.12,641.4,835.19,561.94,16.5,0.014771116505695493,0.43,-18.79,5751355.0,-7.9,107.9,11.4,2.22,0.1811378340043677,0.09885351321155884,0.8188621659956323,1.598003774762643,0.982431252504733,7.847632543235289,-20.12227022158426,-56.62957072017176,-28.815027159642405,-0.12336507109147314,-1.1074181148762592,0.0032762018896741216,-58.074026557860606,-57.249286391262466
