일자,기관,개인,외국인,기타,전체
"2021/06/09","214392","100667","3547089","179","3862327"
"2021/06/08","90473","68759","2346207","312","2505751"
"2021/06/07","93733","56729","2474200","0","2624662"
"2021/06/04","478809","47705","2799644","0","3326158"
"2021/06/03","224956","44783","2853395","0","3123134"
"2021/06/02","174416","47328","3179644","0","3401388"
"2021/06/01","262460","32904","2615639","340","2911343"
"2021/05/31","514433","73111","3144748","104","3732396"
"2021/05/28","350215","29549","3183380","0","3563144"
"2021/05/27","460042","48707","3454809","0","3963558"
"2021/05/26","392153","55314","1909394","0","2356861"
"2021/05/25","453535","62216","2240956","0","2756707"
"2021/05/24","517539","46145","2596953","0","3160637"
"2021/05/21","254325","64289","3969048","130","4287792"
"2021/05/20","442582","110623","2751718","0","3304923"
"2021/05/18","372436","89252","3406256","1377","3869321"
"2021/05/17","578422","80727","3511630","0","4170779"
"2021/05/14","215794","109427","2712422","0","3037643"
"2021/05/13","217783","83357","3198661","0","3499801"
"2021/05/12","1067827","162128","4341829","0","5571784"
"2021/05/11","519433","135325","5011618","4874","5671250"
"2021/05/10","385447","84362","3523933","0","3993742"
"2021/05/07","163629","103148","4449324","0","4716101"
"2021/05/06","577289","110665","5303852","0","5991806"
"2021/05/04","665271","162120","5501534","0","6328925"
"2021/05/03","1596920","181306","7918292","0","9696518"
"2021/04/30","45440","0","0","0","45440"
"2021/04/29","70564","0","0","0","70564"
"2021/04/28","71038","0","0","0","71038"
"2021/04/27","91042","0","0","0","91042"
"2021/04/26","57346","0","0","0","57346"
"2021/04/23","40147","0","0","0","40147"
"2021/04/22","41107","0","0","0","41107"
"2021/04/21","90183","0","0","0","90183"
"2021/04/20","39108","0","0","0","39108"
"2021/04/19","90943","0","0","0","90943"
"2021/04/16","47611","0","0","0","47611"
"2021/04/15","41180","0","0","0","41180"
"2021/04/14","99122","0","0","0","99122"
"2021/04/13","95067","0","0","0","95067"
"2021/04/12","97708","0","0","0","97708"
"2021/04/09","54299","0","0","0","54299"
"2021/04/08","99726","0","0","0","99726"
"2021/04/07","92657","0","0","0","92657"
"2021/04/06","33825","0","0","0","33825"
"2021/04/05","66588","0","0","0","66588"
"2021/04/02","108667","0","0","0","108667"
"2021/04/01","75784","0","0","0","75784"
"2021/03/31","50304","0","0","0","50304"
"2021/03/30","59579","0","0","0","59579"
"2021/03/29","38894","0","0","0","38894"
"2021/03/26","28348","0","0","0","28348"
"2021/03/25","47517","0","0","0","47517"
"2021/03/24","120000","0","0","0","120000"
"2021/03/23","45565","0","0","0","45565"
"2021/03/22","63330","0","0","0","63330"
"2021/03/19","145858","0","0","0","145858"
"2021/03/18","52987","0","0","0","52987"
"2021/03/17","74084","0","0","0","74084"
"2021/03/16","67653","0","0","0","67653"
"2021/03/15","50047","0","0","0","50047"
"2021/03/12","41123","0","0","0","41123"
"2021/03/11","41803","0","0","0","41803"
"2021/03/10","45409","0","0","0","45409"
"2021/03/09","125339","0","0","0","125339"
"2021/03/08","13747","0","0","0","13747"
"2021/03/05","309843","0","0","0","309843"
"2021/03/04","499170","0","0","0","499170"
"2021/03/03","96417","0","0","0","96417"
"2021/03/02","50983","0","0","0","50983"
"2021/02/26","51838","0","0","0","51838"
"2021/02/25","108939","0","0","0","108939"
"2021/02/24","66623","0","0","0","66623"
"2021/02/23","15947","0","0","0","15947"
"2021/02/22","166685","0","0","0","166685"
"2021/02/19","51275","0","0","0","51275"
"2021/02/18","59836","0","0","0","59836"
"2021/02/17","57928","0","0","0","57928"
"2021/02/16","28141","0","0","0","28141"
"2021/02/15","123513","0","0","0","123513"
"2021/02/10","17868","0","0","0","17868"
"2021/02/09","19394","0","0","0","19394"
"2021/02/08","92878","0","0","0","92878"
"2021/02/05","25413","0","0","0","25413"
"2021/02/04","52409","0","0","0","52409"
"2021/02/03","59999","0","0","0","59999"
"2021/02/02","59773","0","0","0","59773"
"2021/02/01","49297","0","0","0","49297"
"2021/01/29","53377","0","0","0","53377"
"2021/01/28","33186","0","0","0","33186"
"2021/01/27","59305","0","0","0","59305"
"2021/01/26","40472","0","0","0","40472"
"2021/01/25","21896","0","0","0","21896"
"2021/01/22","102725","0","0","0","102725"
"2021/01/21","49861","0","0","0","49861"
"2021/01/20","120306","0","0","0","120306"
"2021/01/19","82106","0","0","0","82106"
"2021/01/18","55648","0","0","0","55648"
"2021/01/15","102981","0","0","0","102981"
"2021/01/14","126999","0","0","0","126999"
"2021/01/13","114652","0","0","0","114652"
"2021/01/12","78320","0","0","0","78320"
"2021/01/11","131510","0","0","0","131510"
"2021/01/08","138031","0","0","0","138031"
"2021/01/07","71128","0","0","0","71128"
"2021/01/06","46612","0","0","0","46612"
"2021/01/05","105768","0","0","0","105768"
"2021/01/04","262582","0","0","0","262582"
"2020/12/30","191193","0","0","0","191193"
"2020/12/29","67621","0","0","0","67621"
"2020/12/28","110078","0","0","0","110078"
"2020/12/24","102137","0","0","0","102137"
"2020/12/23","53936","0","0","0","53936"
"2020/12/22","54787","0","0","0","54787"
"2020/12/21","79593","0","0","0","79593"
"2020/12/18","62871","0","0","0","62871"
"2020/12/17","82377","0","0","0","82377"
"2020/12/16","206897","0","0","0","206897"
"2020/12/15","111681","0","0","0","111681"
"2020/12/14","161823","0","0","0","161823"
"2020/12/11","266037","0","0","0","266037"
"2020/12/10","1023547","0","0","0","1023547"
"2020/12/09","110843","0","0","0","110843"
"2020/12/08","72051","0","0","0","72051"
"2020/12/07","137608","0","0","0","137608"
"2020/12/04","81112","0","0","0","81112"
"2020/12/03","120251","0","0","0","120251"
"2020/12/02","83422","0","0","0","83422"
"2020/12/01","31300","0","0","0","31300"
"2020/11/30","118653","0","0","0","118653"
"2020/11/27","93212","0","0","0","93212"
"2020/11/26","118774","0","0","0","118774"
"2020/11/25","89233","0","0","0","89233"
"2020/11/24","106437","0","0","0","106437"
"2020/11/23","60195","0","0","0","60195"
"2020/11/20","61336","0","0","0","61336"
"2020/11/19","47882","0","0","0","47882"
"2020/11/18","60760","0","0","0","60760"
"2020/11/17","69752","0","0","0","69752"
"2020/11/16","48953","0","0","0","48953"
"2020/11/13","36534","0","0","0","36534"
"2020/11/12","67157","0","0","0","67157"
"2020/11/11","37477","0","0","0","37477"
"2020/11/10","30836","0","0","0","30836"
"2020/11/09","50705","0","0","0","50705"
"2020/11/06","47544","0","0","0","47544"
"2020/11/05","46827","0","0","0","46827"
"2020/11/04","61621","0","0","0","61621"
"2020/11/03","56420","0","0","0","56420"
"2020/11/02","22302","0","0","0","22302"
"2020/10/30","41996","0","0","0","41996"
"2020/10/29","35887","0","0","0","35887"
"2020/10/28","59384","0","0","0","59384"
"2020/10/27","65925","0","0","0","65925"
"2020/10/26","46774","0","0","0","46774"
"2020/10/23","72253","0","0","0","72253"
"2020/10/22","28511","0","0","0","28511"
"2020/10/21","43727","0","0","0","43727"
"2020/10/20","83955","0","0","0","83955"
"2020/10/19","47316","0","0","0","47316"
"2020/10/16","68648","0","0","0","68648"
"2020/10/15","106368","0","0","0","106368"
"2020/10/14","86408","0","0","0","86408"
"2020/10/13","61731","0","0","0","61731"
"2020/10/12","197193","0","0","0","197193"
"2020/10/08","108109","0","0","0","108109"
"2020/10/07","75187","0","0","0","75187"
"2020/10/06","54757","0","0","0","54757"
"2020/10/05","46394","0","0","0","46394"
"2020/09/29","72895","0","0","0","72895"
"2020/09/28","80150","0","0","0","80150"
"2020/09/25","43810","0","0","0","43810"
"2020/09/24","71352","0","0","0","71352"
"2020/09/23","76753","0","0","0","76753"
"2020/09/22","69978","0","0","0","69978"
"2020/09/21","110688","0","0","0","110688"
"2020/09/18","436746","0","0","0","436746"
"2020/09/17","64264","0","0","0","64264"
"2020/09/16","558648","0","0","0","558648"
"2020/09/15","121104","0","0","0","121104"
"2020/09/14","111447","0","0","0","111447"
"2020/09/11","344744","0","0","0","344744"
"2020/09/10","351996","0","0","0","351996"
"2020/09/09","597064","0","0","0","597064"
"2020/09/08","192039","0","0","0","192039"
"2020/09/07","73800","0","0","0","73800"
"2020/09/04","74041","0","0","0","74041"
"2020/09/03","90994","0","0","0","90994"
"2020/09/02","58832","0","0","0","58832"
"2020/09/01","67137","0","0","0","67137"
"2020/08/31","120112","0","0","0","120112"
"2020/08/28","53700","0","0","0","53700"
"2020/08/27","79798","0","0","0","79798"
"2020/08/26","74827","0","0","0","74827"
"2020/08/25","67449","0","0","0","67449"
"2020/08/24","88305","0","0","0","88305"
"2020/08/21","99102","0","0","0","99102"
"2020/08/20","85348","0","0","0","85348"
"2020/08/19","95705","0","0","0","95705"
"2020/08/18","105225","0","0","0","105225"
"2020/08/14","74575","0","0","0","74575"
"2020/08/13","96420","0","0","0","96420"
"2020/08/12","66938","0","0","0","66938"
"2020/08/11","105975","0","0","0","105975"
"2020/08/10","77556","0","0","0","77556"
"2020/08/07","53622","0","0","0","53622"
"2020/08/06","53879","0","0","0","53879"
"2020/08/05","46148","0","0","0","46148"
"2020/08/04","85101","0","0","0","85101"
"2020/08/03","133874","0","0","0","133874"
"2020/07/31","88361","0","0","0","88361"
"2020/07/30","98273","0","0","0","98273"
"2020/07/29","53949","0","0","0","53949"
"2020/07/28","61013","0","0","0","61013"
"2020/07/27","96647","0","0","0","96647"
"2020/07/24","64620","0","0","0","64620"
"2020/07/23","124800","0","0","0","124800"
"2020/07/22","111239","0","0","0","111239"
"2020/07/21","99192","0","0","0","99192"
"2020/07/20","84351","0","0","0","84351"
"2020/07/17","79098","0","0","0","79098"
"2020/07/16","104859","0","0","0","104859"
"2020/07/15","85571","0","0","0","85571"
"2020/07/14","67421","0","0","0","67421"
"2020/07/13","95949","0","0","0","95949"
"2020/07/10","174242","0","0","0","174242"
"2020/07/09","163495","0","0","0","163495"
"2020/07/08","153536","0","0","0","153536"
"2020/07/07","112269","0","0","0","112269"
"2020/07/06","103800","0","0","0","103800"
"2020/07/03","106654","0","0","0","106654"
"2020/07/02","170649","0","0","0","170649"
"2020/07/01","56513","0","0","0","56513"
"2020/06/30","211238","0","0","0","211238"
"2020/06/29","137825","0","0","0","137825"
"2020/06/26","72861","0","0","0","72861"
"2020/06/25","145307","0","0","0","145307"
"2020/06/24","81994","0","0","0","81994"
"2020/06/23","296270","0","0","0","296270"
"2020/06/22","73841","0","0","0","73841"
"2020/06/19","75228","0","0","0","75228"
"2020/06/18","100493","0","0","0","100493"
"2020/06/17","117547","0","0","0","117547"
"2020/06/16","100011","0","0","0","100011"
"2020/06/15","50785","0","0","0","50785"
"2020/06/12","222234","0","0","0","222234"
"2020/06/11","348509","0","0","0","348509"
"2020/06/10","38369","0","0","0","38369"
"2020/06/09","48047","0","0","0","48047"
"2020/06/08","57748","0","0","0","57748"
"2020/06/05","31026","0","0","0","31026"
"2020/06/04","33189","0","0","0","33189"
"2020/06/03","65855","0","0","0","65855"
"2020/06/02","47941","0","0","0","47941"
"2020/06/01","124741","0","0","0","124741"
"2020/05/29","546814","0","0","0","546814"
"2020/05/28","75010","0","0","0","75010"
"2020/05/27","73038","0","0","0","73038"
"2020/05/26","108430","0","0","0","108430"
"2020/05/25","77010","0","0","0","77010"
"2020/05/22","56783","0","0","0","56783"
"2020/05/21","56601","0","0","0","56601"
