종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"038530","골드퍼시픽","0","92016431","0.0","5.9994713E7","0.00"
"900280","골든센츄리","0","179157570","0.0","6.5750828E7","0.00"
"215000","골프존","87970","6275415","1.1735198E7","8.37140361E8","1.40"
"121440","골프존뉴딘홀딩스","43111","42836818","301346.0","2.99429358E8","0.10"
"366030","공구우먼","0","3672100","0.0","1.33848045E8","0.00"
"014200","광림","0","90706696","0.0","1.32431776E8","0.00"
"029480","광무","0","27729988","0.0","7.9723716E7","0.00"
"026910","광진실업","0","6405405","0.0","3.0617836E7","0.00"
"355150","교보10호스팩","0","5320000","0.0","1.19966E7","0.00"
"397880","교보11호스팩","0","4440000","0.0","9479400.0","0.00"
"421800","교보12호스팩","0","5980000","0.0","1.25879E7","0.00"
"331520","교보9호스팩","0","3880000","0.0","8924000.0","0.00"
"053270","구영테크","0","26394174","0.0","8.340559E7","0.00"
"066620","국보디자인","6299","7500000","102044.0","1.215E8","0.08"
"043650","국순당","0","17858304","0.0","1.57867407E8","0.00"
"006050","국영지앤엠","126216","34895243","184906.0","5.1121531E7","0.36"
"060480","국일신동","0","11090000","0.0","3.19392E7","0.00"
"078130","국일제지","4367972","127617473","1.1225688E7","3.27976906E8","3.42"
"307750","국전약품","0","49069269","0.0","3.40050034E8","0.00"
"035080","그래디언트","129392","15527584","2277299.0","2.73285478E8","0.83"
"204020","그리티","0","20147430","0.0","6.1953347E7","0.00"
"186230","그린플러스","0","10820188","0.0","1.27678218E8","0.00"
"900070","글로벌에스엠","0","53743968","0.0","4.1275367E7","0.00"
"204620","글로벌텍스프리","0","51719642","0.0","1.26713123E8","0.00"
"019660","글로본","0","34323675","0.0","8.5465951E7","0.00"
"053260","금강철강","0","18720000","0.0","1.29168E8","0.00"
"036190","금화피에스시","0","6000000","0.0","1.749E8","0.00"
"049080","기가레인","154264","79243240","226768.0","1.16487563E8","0.19"
"035460","기산텔레콤","0","14577340","0.0","4.4898207E7","0.00"
"308100","까스텔바작","0","6596700","0.0","6.530733E7","0.00"
"187790","나노","0","27067695","0.0","2.8962434E7","0.00"
"286750","나노브릭","0","20464549","0.0","4.2156971E7","0.00"
"121600","나노신소재","201742","10848333","1.3920198E7","7.48534977E8","1.86"
"247660","나노씨엠에스","0","4288920","0.0","1.46681064E8","0.00"
"039860","나노엔텍","39956","26807627","208570.0","1.39935813E8","0.15"
"091970","나노캠텍","0","28080425","0.0","4.5209484E7","0.00"
"051490","나라엠앤디","0","14200000","0.0","8.9034E7","0.00"
"137080","나래나노텍","0","11059422","0.0","1.01083117E8","0.00"
"190510","나무가","15949","15196341","145295.0","1.38438667E8","0.10"
"242040","나무기술","0","34241700","0.0","5.8553307E7","0.00"
"089600","나스미디어","8417","10539962","188120.0","2.35568151E8","0.08"
"293580","나우IB","0","9577000","0.0","8.169181E7","0.00"
"138610","나이벡","5329","9957479","124965.0","2.33502883E8","0.05"
"130580","나이스디앤비","0","15400000","0.0","1.0934E8","0.00"
"036800","나이스정보통신","4822","10000000","118139.0","2.45E8","0.05"
