일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"2021/06/25","9816","7281","2535","776753","1.26","958431600","712562500","245869100","75789327500","1.26"
"2021/06/24","13858","12564","1294","589854","2.35","1317180400","1195211000","121969400","55859104000","2.36"
"2021/06/23","24966","21645","3321","592593","4.21","2379791600","2062659800","317131800","56542677700","4.21"
"2021/06/22","3552","2044","1508","326864","1.09","344379600","198203200","146176400","31685234100","1.09"
"2021/06/21","18628","10950","7678","735910","2.53","1785597600","1051148300","734449300","70539655600","2.53"
"2021/06/18","10992","9378","1614","421332","2.61","1086081900","926551600","159530300","41632471700","2.61"
"2021/06/17","9154","7082","2072","565547","1.62","909818400","704482900","205335500","56236847500","1.62"
"2021/06/16","45520","45203","317","469719","9.69","4482103400","4450932100","31171300","46236150600","9.69"
"2021/06/15","48777","48726","51","377512","12.92","4794658000","4789631100","5026900","37079628600","12.93"
"2021/06/14","45468","44985","483","367520","12.37","4496908400","4449164600","47743800","36347396900","12.37"
"2021/06/11","6595","4989","1606","424570","1.55","651135200","492676700","158458500","41922231700","1.55"
"2021/06/10","12333","2184","10149","611096","2.02","1230886500","218374100","1012512400","60989521700","2.02"
"2021/06/09","10169","10120","49","1065288","0.95","1019597500","1014699500","4898000","106717305900","0.96"
"2021/06/08","3774","2868","906","426957","0.88","369182000","280857500","88324500","41607847500","0.89"
"2021/06/07","10126","9892","234","591195","1.71","982884900","960124900","22760000","57302414300","1.72"
"2021/06/04","92034","85507","6527","1350016","6.82","8915484600","8279646200","635838400","130992731800","6.81"
"2021/06/03","11946","11747","199","505284","2.36","1194177900","1174297800","19880100","50577495400","2.36"
"2021/06/02","7568","6937","631","830538","0.91","763719200","699973300","63745900","83652431300","0.91"
"2021/06/01","62025","60361","1664","759546","8.17","6193436900","6027242200","166194700","75849191900","8.17"
"2021/05/31","9245","6988","2257","1199756","0.77","933154400","706268200","226886200","121059318700","0.77"
"2021/05/28","12876","6882","5994","506662","2.54","1257476700","671319900","586156800","49544882900","2.54"
"2021/05/27","12999","7057","5942","928746","1.40","1275254300","693065300","582189000","91092989200","1.40"
"2021/05/26","8537","7638","899","1736088","0.49","835070800","747077800","87993000","169334338300","0.49"
"2021/05/25","18277","17813","464","628724","2.91","1705026500","1661539600","43486900","58653317800","2.91"
"2021/05/24","56625","56625","0","526572","10.75","5174969000","5174969000","0","48198902500","10.74"
"2021/05/21","48036","45672","2364","1020139","4.71","4369588300","4152885800","216702500","92951812900","4.70"
