적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2022/02/16","2022/02/17","2022/02/17","038540","상상인","KOSDAQ","40",,,"6.40","8.12","유형3"
"2022/02/16","2022/02/17","2022/02/17","027360","아주IB투자","KOSDAQ","40",,,"9.66","6.24","유형3"
"2022/02/16","2022/02/17","2022/02/17","230360","에코마케팅","KOSDAQ","40",,,"9.88","7.63","유형3"
"2022/02/16","2022/02/17","2022/02/17","003380","하림지주","KOSDAQ","40",,,"13.47","7.22","유형3"
"2022/02/10","2022/02/11","2022/02/11","035760","CJ ENM","KOSDAQ","40",,,"8.64","8.85","유형3"
"2022/02/10","2022/02/11","2022/02/11","067160","아프리카TV","KOSDAQ","40",,,"6.07","7.08","유형3"
"2022/02/09","2022/02/10","2022/02/10","035600","KG이니시스","KOSDAQ","40",,,"7.03","6.39","유형3"
"2022/02/09","2022/02/10","2022/02/10","092190","서울바이오시스","KOSDAQ","40",,,"5.05","5.01","유형3"
"2022/02/08","2022/02/09","2022/02/09","035760","CJ ENM","KOSDAQ","40",,,"6.45","7.97","유형3"
"2022/02/07","2022/02/08","2022/02/08","080160","모두투어","KOSDAQ","40",,,"5.21","7.81","유형3"
"2022/02/07","2022/02/08","2022/02/08","027360","아주IB투자","KOSDAQ","40",,,"18.69","6.26","유형3"
"2022/02/07","2022/02/08","2022/02/08","003380","하림지주","KOSDAQ","40",,,"6.10","5.14","유형3"
"2022/01/24","2022/01/25","2022/01/25","053030","바이넥스","KOSDAQ","40",,,"6.53","6.23","유형3"
"2022/01/18","2022/01/19","2022/01/19","046890","서울반도체","KOSDAQ","40",,,"5.70","5.98","유형3"
"2022/01/18","2022/01/19","2022/01/19","298380","에이비엘바이오","KOSDAQ","40",,,"8.75","5.39","유형3"
"2022/01/17","2022/01/18","2022/01/18","082270","젬백스","KOSDAQ","40",,,"9.89","9.46","유형3"
"2022/01/14","2022/01/17","2022/01/17","290510","코리아센터","KOSDAQ","40",,,"16.49","6.55","유형3"
"2022/01/13","2022/01/14","2022/01/14","235980","메드팩토","KOSDAQ","40",,"-27.54","6.13",,"유형2"
"2022/01/13","2022/01/14","2022/01/14","298380","에이비엘바이오","KOSDAQ","40",,,"17.90","5.36","유형3"
"2022/01/11","2022/01/12","2022/01/12","046890","서울반도체","KOSDAQ","40",,,"6.71","6.04","유형3"
"2022/01/11","2022/01/12","2022/01/12","052400","코나아이","KOSDAQ","40",,,"5.04","5.35","유형3"
"2022/01/11","2022/01/12","2022/01/12","145020","휴젤","KOSDAQ","40",,,"7.09","5.42","유형3"
"2022/01/07","2022/01/10","2022/01/10","053800","안랩","KOSDAQ","40",,,"7.83","6.05","유형3"
"2022/01/04","2022/01/05","2022/01/05","053800","안랩","KOSDAQ","40",,,"21.32","5.86","유형3"
"2021/12/30","2022/01/03","2022/01/03","053800","안랩","KOSDAQ","40",,,"24.36","5.97","유형3"
"2021/12/29","2021/12/30","2021/12/30","035080","인터파크","KOSDAQ","40",,,"6.18","5.09","유형3"
"2021/12/29","2021/12/30","2021/12/30","243070","휴온스","KOSDAQ","40","15.79","-6.27","7.63",,"유형1"
"2021/12/28","2021/12/29","2021/12/29","089980","상아프론테크","KOSDAQ","40",,"-12.86","8.43",,"유형2"
"2021/12/23","2021/12/24","2021/12/24","030530","원익홀딩스","KOSDAQ","40",,,"6.82","8.28","유형3"
"2021/12/23","2021/12/24","2021/12/24","035080","인터파크","KOSDAQ","40","16.44","-7.16","10.87",,"유형1"
"2021/12/17","2021/12/20","2021/12/20","078130","국일제지","KOSDAQ","40",,,"9.80","5.86","유형3"
"2021/12/16","2021/12/17","2021/12/17","060250","NHN한국사이버결제","KOSDAQ","40",,,"5.97","10.17","유형3"
"2021/12/14","2021/12/15","2021/12/15","235980","메드팩토","KOSDAQ","40",,,"11.64","5.92","유형3"
"2021/12/14","2021/12/15","2021/12/15","084110","휴온스글로벌","KOSDAQ","40",,,"5.71","6.73","유형3"
"2021/12/10","2021/12/13","2021/12/13","151910","나노스","KOSDAQ","40","22.47","-6.14","61.01",,"유형1"
"2021/12/10","2021/12/13","2021/12/13","084110","휴온스글로벌","KOSDAQ","40",,,"35.11","6.06","유형3"
"2021/12/07","2021/12/08","2021/12/08","048410","현대바이오","KOSDAQ","40",,"-15.04","5.05",,"유형2"
"2021/12/02","2021/12/03","2021/12/03","240810","원익IPS","KOSDAQ","40",,,"6.15","10.71","유형3"
"2021/12/01","2021/12/02","2021/12/02","131370","알서포트","KOSDAQ","40",,,"5.50","6.12","유형3"
"2021/11/30","2021/12/01","2021/12/01","096530","씨젠","KOSDAQ","40",,,"5.48","11.27","유형3"
"2021/11/30","2021/12/01","2021/12/01","041960","코미팜","KOSDAQ","40",,"-10.71","6.66",,"유형2"
"2021/11/30","2021/12/01","2021/12/01","064760","티씨케이","KOSDAQ","40",,,"5.73","9.59","유형3"
"2021/11/29","2021/11/30","2021/11/30","092190","서울바이오시스","KOSDAQ","40",,,"9.32","7.15","유형3"
"2021/11/26","2021/11/29","2021/11/29","096530","씨젠","KOSDAQ","40",,,"8.61","11.53","유형3"
"2021/11/26","2021/11/29","2021/11/29","041960","코미팜","KOSDAQ","40",,,"9.48","9.49","유형3"
"2021/11/25","2021/11/26","2021/11/26","263050","유틸렉스","KOSDAQ","40","34.27","-5.98","5.48",,"유형1"
"2021/11/24","2021/11/25","2021/11/25","218410","RFHIC","KOSDAQ","40",,,"5.37","6.23","유형3"
"2021/11/24","2021/11/25","2021/11/25","178320","서진시스템","KOSDAQ","40",,,"5.35","5.85","유형3"
"2021/11/24","2021/11/25","2021/11/25","088800","에이스테크","KOSDAQ","40",,,"6.61","6.25","유형3"
"2021/11/22","2021/11/23","2021/11/23","240810","원익IPS","KOSDAQ","40",,,"7.52","10.42","유형3"
"2021/11/22","2021/11/23","2021/11/23","095610","테스","KOSDAQ","40",,,"5.58","6.16","유형3"
"2021/11/19","2021/11/22","2021/11/22","036540","SFA반도체","KOSDAQ","40",,,"5.19","5.94","유형3"
"2021/11/18","2021/11/19","2021/11/19","263050","유틸렉스","KOSDAQ","40",,,"5.39","8.62","유형3"
"2021/11/17","2021/11/18","2021/11/18","030190","NICE평가정보","KOSDAQ","40","18.53","-6.09","7.23",,"유형1"
"2021/11/17","2021/11/18","2021/11/18","141080","레고켐바이오","KOSDAQ","40",,,"10.08","10.18","유형3"
"2021/11/16","2021/11/17","2021/11/17","192440","슈피겐코리아","KOSDAQ","40",,,"5.37","13.15","유형3"
"2021/11/15","2021/11/16","2021/11/16","068760","셀트리온제약","KOSDAQ","40",,,"6.59","9.62","유형3"
"2021/11/15","2021/11/16","2021/11/16","138080","오이솔루션","KOSDAQ","40",,,"6.38","9.98","유형3"
"2021/11/15","2021/11/16","2021/11/16","030530","원익홀딩스","KOSDAQ","40",,,"7.20","8.58","유형3"
"2021/11/15","2021/11/16","2021/11/16","023410","유진기업","KOSDAQ","40",,,"5.41","7.35","유형3"
"2021/11/12","2021/11/15","2021/11/15","069080","웹젠","KOSDAQ","40",,,"5.74","7.38","유형3"
"2021/11/12","2021/11/15","2021/11/15","083790","크리스탈지노믹스","KOSDAQ","40",,,"6.37","9.75","유형3"
"2021/11/11","2021/11/12","2021/11/12","078340","컴투스","KOSDAQ","40",,,"12.99","6.13","유형3"
"2021/11/11","2021/11/12","2021/11/12","145020","휴젤","KOSDAQ","40",,"-10.90","5.41",,"유형2"
"2021/11/10","2021/11/11","2021/11/11","192440","슈피겐코리아","KOSDAQ","40",,,"5.75","11.37","유형3"
"2021/11/10","2021/11/11","2021/11/11","092040","아미코젠","KOSDAQ","40",,"-11.49","7.36",,"유형2"
"2021/11/10","2021/11/11","2021/11/11","214450","파마리서치","KOSDAQ","40",,,"6.92","5.57","유형3"
"2021/11/09","2021/11/10","2021/11/10","078340","컴투스","KOSDAQ","40",,,"7.74","6.18","유형3"
"2021/11/08","2021/11/09","2021/11/09","206650","유바이오로직스","KOSDAQ","40",,"-10.99","7.48",,"유형2"
"2021/11/05","2021/11/08","2021/11/08","036540","SFA반도체","KOSDAQ","40",,,"5.10","5.60","유형3"
"2021/11/05","2021/11/08","2021/11/08","175250","아이큐어","KOSDAQ","40",,,"7.16","6.16","유형3"
"2021/11/02","2021/11/03","2021/11/03","036540","SFA반도체","KOSDAQ","40",,,"10.71","5.78","유형3"
"2021/11/01","2021/11/02","2021/11/02","053800","안랩","KOSDAQ","40",,"-13.05","5.40",,"유형2"
"2021/11/01","2021/11/02","2021/11/02","048260","오스템임플란트","KOSDAQ","40","30.64","-5.83","7.49",,"유형1"
"2021/10/29","2021/11/01","2021/11/01","091990","셀트리온헬스케어","KOSDAQ","40","23.07","-7.33","5.01",,"유형1"
"2021/10/29","2021/11/01","2021/11/01","027360","아주IB투자","KOSDAQ","40",,,"11.81","6.28","유형3"
"2021/10/28","2021/10/29","2021/10/29","038500","삼표시멘트","KOSDAQ","40",,,"10.03","5.09","유형3"
