종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"011790","SKC","주권","28578","22815","5763","177663","16.09","3820263500","3048261000","772002500","23834226500","16.03"
"018670","SK가스","주권","282","0","282","11271","2.50","31603500","0","31603500","1275121000","2.48"
"001740","SK네트웍스","주권","12952","3950","9002","295770","4.38","55068890","16807285","38261605","1257228325","4.38"
"001745","SK네트웍스우","주권","0","0","0","460","0.00","0","0","0","26450800","0.00"
"006120","SK디스커버리","주권","5","0","5","22833","0.02","174050","0","174050","800393250","0.02"
"006125","SK디스커버리우","주권","0","0","0","1161","0.00","0","0","0","35237800","0.00"
"210980","SK디앤디","주권","78","0","78","12303","0.63","1934400","0","1934400","306339850","0.63"
"068400","SK렌터카","주권","404","0","404","20626","1.96","3334800","0","3334800","170285600","1.96"
"395400","SK리츠","부동산투자회사","2760","0","2760","139870","1.97","15816750","0","15816750","801424000","1.97"
"302440","SK바이오사이언스","주권","109777","109409","368","2174989","5.05","15511924000","15460380000","51544000","307187718500","5.05"
"326030","SK바이오팜","주권","15347","15076","271","82746","18.55","1216787300","1195161900","21625400","6568625000","18.52"
"402340","SK스퀘어","주권","33161","33008","153","577243","5.74","1320701150","1314588800","6112350","23105832450","5.72"
"361610","SK아이이테크놀로지","주권","36496","35580","916","716351","5.09","3018044000","2942325400","75718600","59015235400","5.11"
"03473K","SK우","주권","0","0","0","331","0.00","0","0","0","61196000","0.00"
"096770","SK이노베이션","주권","35003","34109","894","441380","7.93","6067160500","5911329500","155831000","76858837000","7.89"
"096775","SK이노베이션우","주권","0","0","0","1775","0.00","0","0","0","194785500","0.00"
"001510","SK증권","주권","0","0","0","699368","0.00","0","0","0","508131347","0.00"
"001515","SK증권우","주권","0","0","0","3275","0.00","0","0","0","9817705","0.00"
"285130","SK케미칼","주권","8681","8663","18","83072","10.45","888225000","886389000","1836000","8502400200","10.45"
"28513K","SK케미칼우","주권","0","0","0","13775","0.00","0","0","0","723206500","0.00"
"017670","SK텔레콤","주권","27350","14818","12532","608044","4.50","1481112500","802331000","678781500","32909767400","4.50"
"000660","SK하이닉스","주권","256138","254593","1545","2814478","9.10","24465679400","24317952000","147727400","269081541900","9.09"
"064960","SNT모티브","주권","77","0","77","15652","0.49","3157000","0","3157000","641546700","0.49"
"100840","SNT에너지","주권","7","0","7","73917","0.01","116100","0","116100","1255627100","0.01"
"003570","SNT중공업","주권","0","0","0","23866","0.00","0","0","0","162210690","0.00"
"036530","SNT홀딩스","주권","0","0","0","4000","0.00","0","0","0","61996150","0.00"
"005610","SPC삼립","주권","2","0","2","11840","0.02","161800","0","161800","959024300","0.02"
"011810","STX","주권","0","0","0","79829","0.00","0","0","0","266303205","0.00"
"077970","STX엔진","주권","0","0","0","52291","0.00","0","0","0","695293700","0.00"
"071970","STX중공업","주권","0","0","0","48210","0.00","0","0","0","205827360","0.00"
"002820","SUN&L","주권","0","0","0","4799","0.00","0","0","0","21760775","0.00"
