종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"054670","대한뉴팜","주권","0","0","0","74445","0.00","0","0","0","765401900","0.00"
"023910","대한약품","주권","0","0","0","13876","0.00","0","0","0","358646950","0.00"
"021040","대호특수강","주권","0","0","0","18581","0.00","0","0","0","11703984","0.00"
"021045","대호특수강우","주권","0","0","0","4528","0.00","0","0","0","5943315","0.00"
"067080","대화제약","주권","0","0","0","23365","0.00","0","0","0","166562590","0.00"
"298540","더네이쳐홀딩스","주권","10","0","10","21910","0.05","296050","0","296050","649698300","0.05"
"299170","더블유에스아이","주권","0","0","0","46926","0.00","0","0","0","93403960","0.00"
"213420","덕산네오룩스","주권","10650","9508","1142","77092","13.81","335742350","299736250","36006100","2436861650","13.78"
"317330","덕산테코피아","주권","0","0","0","41141","0.00","0","0","0","642773400","0.00"
"077360","덕산하이메탈","주권","0","0","0","607680","0.00","0","0","0","4404438630","0.00"
"090410","덕신하우징","주권","0","0","0","1308308","0.00","0","0","0","2950483445","0.00"
"263600","덕우전자","주권","0","0","0","46844","0.00","0","0","0","294948420","0.00"
"194480","데브시스터즈","주권","2827","2046","781","54672","5.17","129467400","94152350","35315050","2492486550","5.19"
"263800","데이타솔루션","주권","0","0","0","211963","0.00","0","0","0","1176462300","0.00"
"206560","덱스터","주권","150","0","150","762099","0.02","2125800","0","2125800","10777103000","0.02"
"261200","덴티스","주권","0","0","0","63628","0.00","0","0","0","565182980","0.00"
"067990","도이치모터스","주권","6","0","6","175457","0.00","50280","0","50280","1468361530","0.00"
"006620","동구바이오제약","주권","1","0","1","98432","0.00","6520","0","6520","647774380","0.00"
"100130","동국S&C","주권","47","0","47","674874","0.01","260670","0","260670","3802052370","0.01"
"005160","동국산업","주권","0","0","0","21567","0.00","0","0","0","61250220","0.00"
"075970","동국알앤에스","주권","0","0","0","172179","0.00","0","0","0","648639690","0.00"
"086450","동국제약","주권","5805","3287","2518","47026","12.34","116045850","65745050","50300800","938904100","12.36"
"099410","동방선기","주권","0","0","0","39560","0.00","0","0","0","122497280","0.00"
"033500","동성화인텍","주권","109","0","109","200738","0.05","1171750","0","1171750","2163019150","0.05"
"025950","동신건설","주권","0","0","0","46858","0.00","0","0","0","951477400","0.00"
"088130","동아엘텍","주권","0","0","0","7592","0.00","0","0","0","53316970","0.00"
"041930","동아화성","주권","50","0","50","31134","0.16","403000","0","403000","252123190","0.16"
"060380","동양에스텍","주권","0","0","0","52772","0.00","0","0","0","127279280","0.00"
"079960","동양이엔피","주권","0","0","0","27937","0.00","0","0","0","381540700","0.00"
"228340","동양파일","주권","0","0","0","40642","0.00","0","0","0","147686955","0.00"
"088910","동우팜투테이블","주권","0","0","0","140236","0.00","0","0","0","385692950","0.00"
"094170","동운아나텍","주권","2","0","2","573796","0.00","16980","0","16980","4912022270","0.00"
"013120","동원개발","주권","54","0","54","35462","0.15","226800","0","226800","148092085","0.15"
"109860","동일금속","주권","0","0","0","166796","0.00","0","0","0","2948219500","0.00"
"032960","동일기연","주권","0","0","0","56440","0.00","0","0","0","664984000","0.00"
"023790","동일철강","주권","0","0","0","49373","0.00","0","0","0","133219215","0.00"
"005290","동진쎄미켐","주권","31174","25876","5298","389131","8.01","1054396850","875488000","178908850","13162652900","8.01"
"025900","동화기업","주권","471","28","443","36306","1.30","29066500","1738800","27327700","2239337900","1.30"
"131970","두산테스나","주권","4922","3936","986","77083","6.39","153383800","122695850","30687950","2401820000","6.39"
"073190","듀오백","주권","0","0","0","37922","0.00","0","0","0","84103095","0.00"
"030350","드래곤플라이","주권","0","0","0","4298143","0.00","0","0","0","8327200020","0.00"
"203650","드림시큐리티","주권","0","0","0","132286","0.00","0","0","0","416871770","0.00"
"223250","드림씨아이에스","주권","0","0","0","30404","0.00","0","0","0","427174050","0.00"
"060570","드림어스컴퍼니","주권","0","0","0","35412","0.00","0","0","0","117482090","0.00"
"217620","디딤","주권","0","0","0","197010","0.00","0","0","0","270888145","0.00"
"016670","디모아","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"187870","디바이스이엔지","주권","1","0","1","9970","0.01","17200","0","17200","170206050","0.01"
"066670","디스플레이텍","주권","0","0","0","1765248","0.00","0","0","0","10892085140","0.00"
"110990","디아이티","주권","0","0","0","9651","0.00","0","0","0","69255150","0.00"
"078590","디아크","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"263690","디알젬","주권","0","0","0","3057","0.00","0","0","0","26600120","0.00"
"214680","디알텍","주권","0","0","0","286234","0.00","0","0","0","433724630","0.00"
"263720","디앤씨미디어","주권","0","0","0","24088","0.00","0","0","0","524061250","0.00"
"376300","디어유","주권","77","0","77","168948","0.05","2713000","0","2713000","6006549150","0.05"
"141020","디에스앤엘","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"109740","디에스케이","주권","0","0","0","8491","0.00","0","0","0","43640290","0.00"
"196490","디에이테크놀로지","주권","0","0","0","73420","0.00","0","0","0","288625615","0.00"
