,종목명,종가,거래량_합계,거래대금_합계,years,month,시가총액,상장주식수,kospi벤치마크지수,시가총액대비거래대금,소외주,종목코드_y,PBR,업종명,업종월평균PBR,LOW P/B
687,대림통상,4240,51959,223021885,2019,4,64554000000,15225000,0.36671252859527886,0.34548112433001826,so,006570,0.58,기계,1.202258064516129,LOW
559,한진중공업홀딩스,4240,97187,410051445,2018,6,125206402880,29529812,0.47096295223757056,0.3275003798272206,so,003480,0.38,전기가스업,0.5288888888888889,LOW
495,WISCOM,4245,42666,182841500,2017,10,63785030400,15025920,0.3839944167689832,0.28665268144169453,so,024070,0.54,화학,1.8470588235294114,LOW
703,대림통상,4250,47498,204583545,2019,6,64706250000,15225000,0.328197907721823,0.3161727731092437,so,006570,0.61,기계,1.1538709677419354,LOW
694,대림통상,4280,19165,81041645,2019,5,65163000000,15225000,0.38894096552230306,0.1243675782269079,so,006570,0.61,기계,1.1006451612903225,LOW
352,대림통상,4310,43814,189596525,2014,12,65619750000,15225000,0.32511319304829495,0.28893210504459405,so,006570,0.5,기계,1.215238095238095,LOW
355,도화엔지니어링,4310,95521,395271770,2014,12,145333200000,33720000,0.32511319304829495,0.27197623805159454,so,002150,0.66,서비스업,2.7562500000000005,LOW
498,대동전자,4330,39520,168300785,2017,10,45423635510,10490447,0.3839944167689832,0.3705136832628657,so,008110,0.37,전기전자,1.6224999999999996,LOW
576,NPC,4335,45397,203297195,2018,7,159181200000,36720000,0.3608696272916866,0.12771432493284382,so,004250,0.73,화학,1.720111111111111,LOW
673,대림통상,4365,22713,100705910,2019,2,66457125000,15225000,0.38535725763955403,0.1515351589464636,so,006570,0.6,기계,1.1632258064516128,LOW
262,흥국화재,4375,85091,370759430,2013,11,281061571875,64242645,0.31210260052721794,0.13191395306253123,so,000540,0.77,보험,0.9630000000000001,LOW
810,대림통상,4390,104056,452759470,2020,7,66837750000,15225000,0.8747449423233076,0.6774008251325037,so,006570,0.73,기계,1.2393749999999997,LOW
157,제주은행,4430,63912,305958745,2012,12,98030468820,22128774,0.36958228006440985,0.31210576536341,so,006220,0.4,은행,0.49,LOW
