,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
141,051630,진양화학,2530,15,0.6,2500,2545,2500,8042,20295780,30360000000,12000000,2017,10,0.06701666666666667,0.066850395256917
142,204210,모두투어리츠,4060,30,0.74,4075,4100,4015,5251,21233990,31776868900,7826815,2017,10,0.06708986988960387,0.06682215943560128
143,004840,DRB동일,8480,130,1.56,8510,8510,8340,12748,107806330,161120000000,19000000,2017,10,0.06709473684210526,0.06691058217477656
144,248170,샘표식품,33200,250,0.76,32950,33250,32350,3098,102145000,151667095200,4568286,2017,10,0.06781536882760843,0.06734816135649178
145,088980,맥쿼리인프라,8520,10,0.12,8520,8530,8480,239485,2038615590,2973857742720,349044336,2017,10,0.06861162760710146,0.06855121415913483
146,000075,삼양홀딩스우,55300,100,0.18,55200,55300,55000,210,11551300,16814407400,304058,2017,10,0.06906577034644706,0.06869882312950262
147,002710,TCC동양,2160,0,0.0,2165,2180,2135,15438,33172265,48259800000,22342500,2017,10,0.06909701242027526,0.06873684723102873
148,004150,한솔홀딩스,6190,0,0.0,6150,6210,6150,32034,198112230,286967601490,46359871,2017,10,0.0690985529273798,0.06903644487090423
149,009070,KCTC,2520,25,1.0,2495,2545,2495,20946,52722885,75600000000,30000000,2017,10,0.06982,0.06973926587301588
150,000650,천일고속,94800,-300,-0.32,95800,95900,94600,1008,95663900,135490056000,1429220,2017,10,0.07052798029694518,0.07060584578989325
151,097955,CJ제일제당 우,162500,1500,0.93,161500,162500,160500,937,151503000,215707862500,1327433,2017,10,0.07058736674468692,0.07023527016777147
152,005720,넥센,8150,20,0.25,8150,8150,8020,36328,294727420,414673385500,50880170,2017,10,0.07139913251076009,0.07107459275319226
153,092200,디아이씨,9450,-100,-1.05,9540,9550,9400,16354,154966620,212317024500,22467410,2017,10,0.07278987653672586,0.0729883156402279
