회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률
(주)기가레인,49080,16-Dec,947207,75445071,-2105359,70397030,1.255492224
(주)기가레인,49080,17-Dec,17415459,100131227,14723978,89874499,17.39263517
(주)기산텔레콤,35460,16-Dec,9753927,59172319,5270325,24679656,16.48393567
(주)기산텔레콤,35460,17-Dec,9096743,63467585,6108227,29568090,14.33289608
(주)나노,187790,16-Dec,-1861899,48175171,-3187642,18480121,-3.864851876
(주)나노,187790,17-Dec,10367650,73089292,5346822,29944292,14.1849096
(주)나노신소재,121600,16-Dec,17845934,41111800,17845934,41111800,43.40830127
(주)나노신소재,121600,17-Dec,20698602,45568866,20698602,45568866,45.42268399
(주)나노엔텍,39860,16-Dec,4790193,22205895,2830694,19928840,21.57171778
(주)나노엔텍,39860,17-Dec,10384553,23809593,9433917,22133358,43.61499585
(주)나무가,190510,16-Dec,16803736,292613003,9978453,189575941,5.742648422
(주)나무가,190510,17-Dec,-12296465,257564977,3936731,169353908,-4.774121522
(주)나스미디어,89600,16-Dec,69943009,69943009,61749724,61749724,100
(주)나스미디어,89600,17-Dec,120275391,120275391,84283178,84283178,100
(주)나이벡,138610,16-Dec,799779,4804232,799779,4804232,16.64738506
(주)나이벡,138610,17-Dec,1955990,6302575,1955990,6302575,31.03477547
(주)나이스디앤비,130580,16-Dec,33964917,33964917,24018056,24018056,100
(주)나이스디앤비,130580,17-Dec,42282947,42282947,32327045,32327045,100
(주)나인테크,267320,17-Dec,0,0,,,#DIV/0!
(주)내츄럴엔도텍,168330,16-Dec,2306457,6556020,2306457,6556020,35.18074991
(주)내츄럴엔도텍,168330,17-Dec,3328804,9238808,3328804,9238808,36.03066543
(주)네오리진,94860,16-Dec,5357460,10654596,5357460,10654596,50.2830891
(주)네오리진,94860,17-Dec,5149229,9263380,5003119,9032026,55.58693479
(주)네오오토,212560,16-Dec,16211331,140544448,16211331,140544448,11.53466482
(주)네오오토,212560,17-Dec,8548059,128249343,8548059,128249343,6.665187361
(주)네오위즈,95660,16-Dec,100645592,191038418,68347047,117653566,52.68343041
(주)네오위즈,95660,17-Dec,82107618,174045348,58766568,106849588,47.17599117
(주)네오위즈홀딩스,42420,16-Dec,104914687,201698095,543311,543311,52.01570545
(주)네오위즈홀딩스,42420,17-Dec,86406446,184864190,551698,551698,46.74049961
(주)네오티스,85910,16-Dec,8498636,40161938,7599415,40161938,21.16092107
(주)네오티스,85910,17-Dec,9190406,43473210,7827451,43473210,21.14038968
(주)네오팜,92730,16-Dec,31876641,42368623,31837263,42257057,75.23643381
(주)네오팜,92730,17-Dec,40143131,53633507,40127548,53553213,74.8471119
(주)네이블커뮤니케이션즈,153460,16-Dec,11031464,21590435,11031464,21590435,51.09421834
(주)네이블커뮤니케이션즈,153460,17-Dec,5335576,13473262,5335576,13473262,39.60121907
(주)네이처셀,7390,16-Dec,3933704,26787767,3933704,26787767,14.68470291
(주)네이처셀,7390,17-Dec,7621763,27215252,7621763,27215252,28.00548384
(주)네패스,33640,16-Dec,47122869,254535006,43301872,223644590,18.51331561
(주)네패스,33640,17-Dec,62103923,285034101,59829727,261721389,21.78824315
(주)넥스턴바이오사이언스,89140,16-Dec,24635728,74373034,24635728,74373034,33.1245435
(주)넥스턴바이오사이언스,89140,17-Dec,13555055,43707618,13555055,43707618,31.01302615
(주)넥스트아이,137940,16-Dec,10923194,39439948,5953565,22779239,27.69576167
(주)넥스트아이,137940,17-Dec,19003323,59482937,7125328,26394171,31.94751967
(주)넥스트엔터테인먼트월드,160550,16-Dec,25803313,125723993,17857176,103941613,20.52377783
(주)넥스트엔터테인먼트월드,160550,17-Dec,20951270,94538544,7028602,57004350,22.16161696
(주)넥슨게임즈,225570,16-Dec,0,0,,,#DIV/0!
(주)넥슨게임즈,225570,17-Dec,22407505,22407505,22407505,22407505,100
(주)넵튠,217270,16-Dec,18335549,18335549,7345180,7345180,100
(주)넵튠,217270,17-Dec,20528450,20528450,7112477,7112477,100
(주)노블엠앤비,106520,16-Dec,1442618,63662855,-5929433,52251867,2.266027812
(주)노블엠앤비,106520,17-Dec,-1497027,60316673,-3937842,55483850,-2.481945581
(주)녹십자셀,31390,16-Dec,6857857,28455734,4874620,11908637,24.10008823
(주)녹십자셀,31390,17-Dec,9248004,19536787,9248004,19536787,47.33636089
(주)녹십자엠에스,142280,16-Dec,12465500,86162555,12569736,86162555,14.46742149
(주)녹십자엠에스,142280,17-Dec,15404494,98389224,15016528,98107431,15.65668818
(주)녹원씨엔아이,65560,16-Dec,704302,3875841,704302,3875841,18.17159166
(주)녹원씨엔아이,65560,17-Dec,13939276,22075102,880603,4347268,63.14478638
(주)누리플랜,69140,16-Dec,6362479,34411741,6362479,34411741,18.48926795
(주)누리플랜,69140,17-Dec,7315016,35622763,6937571,34578601,20.53466768
(주)누리플렉스,40160,16-Dec,24292414,51323868,22484312,47591731,47.33161187
(주)누리플렉스,40160,17-Dec,29880343,117558807,25585945,96144114,25.41735814
(주)뉴로스,126870,16-Dec,16689834,44107101,16379981,42756080,37.83933567
(주)뉴로스,126870,17-Dec,14269820,44781756,13252327,42061542,31.86525334
(주)뉴보텍,60260,16-Dec,11947809,35898522,11947809,35898522,33.28217524
(주)뉴보텍,60260,17-Dec,10551849,41019670,10551849,41019670,25.72387589
(주)뉴인텍,12340,16-Dec,-836515,47895458,1708342,43567642,-1.746543482
(주)뉴인텍,12340,17-Dec,4084008,50296811,2519851,43807312,8.119814992
(주)뉴파워프라즈마,144960,16-Dec,32334181,67407272,32372992,67392792,47.96838685
(주)뉴파워프라즈마,144960,17-Dec,51511678,104494422,51571600,104485987,49.2961031
(주)뉴프렉스,85670,16-Dec,11070027,145216489,9742812,144618199,7.623119851
(주)뉴프렉스,85670,17-Dec,17223593,152715761,14961058,151335859,11.27820265
