회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도2019
(주)제우스,79370,19-Dec,5308333,21945991,7374747,250270864,14564492,56908766,12813092,381353568,0.22101891
(주)제이브이엠,54950,19-Dec,0,16217875,0,161920776,0,18486961,0,180112579,0.102641143
(주)제이스텍,90470,19-Dec,0,14000000,0,152849084,0,14000000,0,152785429,0.091631775
(주)제이시스메디칼,287410,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)제이앤티씨,204270,19-Dec,10416659,37100000,10791656,261878451,23421425,42429174,19236258,443616096,0.191802907
(주)제이에스티나,26040,19-Dec,500000,25984630,500000,81949085,500000,25984630,500000,82018191,0.329007866
(주)제이엘케이,322510,19-Dec,0,0,0,38878318,0,0,0,38698295,0
(주)제이와이피엔터테인먼트,35900,19-Dec,0,0,0,180392303,0,0,0,207839679,0
(주)제이웨이,58420,19-Dec,0,0,114748,14038963,0,0,5691183,21075399,0.270039158
(주)제이티,89790,19-Dec,170000,10200000,332000,57029871,170000,10200000,332000,57029871,0.187656044
(주)제일바이오,52670,19-Dec,0,0,55061,34648173,0,0,55061,34648173,0.001589146
(주)제일테크노스,38010,19-Dec,2353000,28498000,0,152327093,2379125,30820000,0,159138352,0.208618002
(주)제주반도체,80220,19-Dec,600000,33600000,0,156782564,4600000,40600000,13506964,224203060,0.261847291
(주)제테마,216080,19-Dec,3970455,7800000,835455,62286133,3970455,7800000,835455,62286133,0.202387103
(주)젬백스&카엘,82270,19-Dec,1000,0,0,174386962,1000,0,0,163178085,6.12827E-06
(주)젬백스링크,64800,19-Dec,599775,35859150,0,202478365,599775,35859150,0,187733153,0.194206108
(주)조이시티,67000,19-Dec,0,0,0,65213593,0,0,0,64930897,0
(주)좋은사람들,33340,19-Dec,2050000,0,600000,112005329,2050000,0,600000,110237930,0.024038913
(주)중앙디앤엠,51980,19-Dec,400000,4637900,2000000,33330121,600000,5385029,0,34959637,0.171198259
(주)중앙백신연구소,72020,19-Dec,2400000,1650000,0,96567450,2400000,1650000,0,96567450,0.041939598
(주)중앙에너비스,440,19-Dec,182000,10860606,4500,61525322,182000,10860606,4500,61575390,0.179407812
(주)지노믹트리,228760,19-Dec,1200000,0,0,113633385,1200000,0,0,113725029,0.010551767
(주)지니뮤직,43610,19-Dec,0,0,0,233880648,0,0,0,233880648,0
(주)지니틱스,303030,19-Dec,0,4500000,0,42753858,0,4500000,0,42753858,0.105253659
(주)지란지교시큐리티,208350,19-Dec,0,6682554,0,49049508,0,6682554,0,98467430,0.067865628
(주)지씨셀,144510,19-Dec,0,0,0,64917128,0,0,0,68064636,0
(주)지어소프트,51160,19-Dec,0,0,0,18839197,0,0,0,43117466,0
(주)지에스이,53050,19-Dec,11586330,7549334,903171,159269231,11586330,7549334,903171,159269231,0.125817365
(주)지에스홈쇼핑,28150,19-Dec,0,0,0,1426568431,0,0,0,1446961556,0
(주)지엔씨에너지,119850,19-Dec,1390800,15395058,713400,118854145,1390800,16395058,713400,142435514,0.129878129
