,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율
305,(주)메디톡스,86900,17-Dec,167864736,181239191,36.00861385
306,(주)메디프론디비티,65650,16-Dec,13096877,13096877,
307,(주)메디프론디비티,65650,17-Dec,20910434,20910434,59.65969597
308,(주)메지온,140410,16-Dec,11940967,8751241,
309,(주)메지온,140410,17-Dec,5585880,5585880,-36.17042429
310,(주)메카로,241770,16-Dec,48134322,48134322,
311,(주)메카로,241770,17-Dec,106038329,106038329,120.2967126
312,(주)메타바이오메드,59210,16-Dec,41268230,65783883,
313,(주)메타바이오메드,59210,17-Dec,44185868,65341014,-0.673218089
314,(주)멕아이씨에스,58110,16-Dec,7946574,7920354,
315,(주)멕아이씨에스,58110,17-Dec,8514960,8602502,8.612594841
316,(주)멜파스,96640,16-Dec,83326596,83326596,
317,(주)멜파스,96640,17-Dec,55841452,55841452,-32.98483956
318,(주)모다,149940,16-Dec,47055662,93948191,
319,(주)모다,149940,17-Dec,29920748,118523420,26.15827802
320,(주)모다이노칩,80420,16-Dec,120131089,183036443,
321,(주)모다이노칩,80420,17-Dec,166579438,311755063,70.32403924
322,(주)모두투어네트워크,80160,16-Dec,205831518,237084495,
323,(주)모두투어네트워크,80160,17-Dec,249355585,290948152,22.71918161
324,(주)모바일리더,100030,16-Dec,6275188,13419242,
325,(주)모바일리더,100030,17-Dec,6271453,13343523,-0.564256908
326,(주)모베이스,101330,16-Dec,49860650,285420879,
327,(주)모베이스,101330,17-Dec,55904808,320774245,12.38639798
328,(주)모베이스전자,12860,16-Dec,574275654,731169856,
329,(주)모베이스전자,12860,17-Dec,584945911,710241532,-2.862306731
330,(주)모비스,250060,16-Dec,,0,
331,(주)모비스,250060,17-Dec,2389536,2389536,inf
332,(주)모헨즈,6920,16-Dec,41563233,112234938,
333,(주)모헨즈,6920,17-Dec,38478190,117339016,4.547673025
334,(주)미래SCI,28040,16-Dec,16509287,16509287,
335,(주)미래SCI,28040,17-Dec,18319387,19108916,15.7464644
336,(주)미래생명자원,218150,16-Dec,,0,
337,(주)미래생명자원,218150,17-Dec,27968934,40926676,inf
338,(주)미래컴퍼니,49950,16-Dec,74306879,80414537,
339,(주)미래컴퍼니,49950,17-Dec,175260490,181450622,125.6440549
340,(주)미래테크놀로지,213090,16-Dec,21953235,21953235,
341,(주)미래테크놀로지,213090,17-Dec,22362965,22362965,1.866376413
342,(주)미애부,225850,16-Dec,,0,
343,(주)미애부,225850,17-Dec,,0,
344,(주)미코,59090,16-Dec,49599720,140956669,
345,(주)미코,59090,17-Dec,71147376,183916090,30.47704043
346,(주)미투온,201490,16-Dec,14145588,17042857,
347,(주)미투온,201490,17-Dec,14815586,27209665,59.65436429
348,(주)바른손,18700,16-Mar,11952743,16560068,
349,(주)바른손,18700,17-Mar,3499940,4612329,-72.14788611
350,(주)바른손이앤에이,35620,16-Dec,41543823,41653823,
351,(주)바른손이앤에이,35620,17-Dec,25074003,31430347,-24.54390801
352,(주)바른전자,64520,16-Dec,241570556,241570556,
353,(주)바른전자,64520,17-Dec,168479538,168479538,-30.2565922
354,(주)바이넥스,53030,16-Dec,80924373,82108423,
355,(주)바이넥스,53030,17-Dec,78026380,78026380,-4.971527708
356,(주)바이오니아,64550,16-Dec,20975096,21703615,
357,(주)바이오니아,64550,17-Dec,22792648,23267735,7.2067257
358,(주)바이오로그디바이스,208710,16-Dec,57470448,68614604,
359,(주)바이오로그디바이스,208710,17-Dec,55328672,70020158,2.048476444
360,(주)바이오빌,65940,16-Dec,21650373,32673083,
361,(주)바이오빌,65940,17-Dec,19432666,50351617,54.10733355
362,(주)바이오스마트,38460,16-Dec,45503046,62989881,
363,(주)바이오스마트,38460,17-Dec,55114201,80432645,27.69137475
364,(주)바이오톡스텍,86040,16-Dec,20300373,22256692,
365,(주)바이오톡스텍,86040,17-Dec,22351893,25564709,14.86302187
366,(주)바텍,43150,16-Dec,112377253,238338397,
367,(주)바텍,43150,17-Dec,153296439,218808934,-8.194006189
368,(주)배럴,267790,16-Dec,24246628,24246628,
369,(주)배럴,267790,17-Dec,35286005,35286005,45.52953508
370,(주)백금티앤에이,46310,16-Dec,36744298,60216859,
371,(주)백금티앤에이,46310,17-Dec,68146269,101998708,69.38563335
372,(주)버킷스튜디오,66410,16-Dec,17961354,17961354,
373,(주)버킷스튜디오,66410,17-Dec,16096172,16096172,-10.38441757
374,(주)베노홀딩스,206400,16-Dec,20247733,20266910,
375,(주)베노홀딩스,206400,17-Dec,18888947,18892219,-6.782933363
376,(주)베셀,177350,16-Dec,43831409,44002936,
377,(주)베셀,177350,17-Dec,80513243,80643961,83.26950047
378,(주)보광산업,225530,16-Dec,47698115,47698115,
379,(주)보광산업,225530,17-Dec,42039497,42039497,-11.86339963
380,(주)보라티알,250000,16-Dec,38351961,38351961,
381,(주)보라티알,250000,17-Dec,41950240,42068055,9.689449778
382,(주)본느,226340,16-Dec,,0,
383,(주)본느,226340,17-Dec,,0,
384,(주)부-스타,8470,16-Dec,86313556,86313556,
385,(주)부-스타,8470,17-Dec,78949525,78949525,-8.531720093
386,(주)부방,14470,16-Dec,14619745,257006997,
387,(주)부방,14470,17-Dec,26323558,383330726,49.15186375
388,(주)뷰웍스,100120,16-Dec,116465198,117303133,
389,(주)뷰웍스,100120,17-Dec,122607323,123460627,5.249215296
390,(주)브리지텍,64480,16-Dec,55214248,55214248,
391,(주)브리지텍,64480,17-Dec,30211608,30211608,-45.28294943
392,(주)브이원텍,251630,16-Dec,23669587,24455283,
393,(주)브이원텍,251630,17-Dec,37985173,38720628,58.33236524
394,(주)브이티지엠피,18290,16-Dec,41141465,41141465,
395,(주)브이티지엠피,18290,17-Dec,40265014,69859691,69.80360568
396,(주)블루베리엔에프티,44480,16-Dec,12830029,15334875,
397,(주)블루베리엔에프티,44480,17-Dec,11902327,14931003,-2.633683026
398,(주)블루콤,33560,16-Dec,248505341,238790401,
