회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)와이어블,65530,Dec-17,1232054,1232054
(주)와이엔텍,67900,Dec-17,1575385,449509
(주)와이오엠,66430,Dec-17,60988,60988
(주)와이제이엠게임즈,193250,Dec-17,838372,838372
(주)와이즈버즈,273060,Dec-17,0,
(주)와이지-원,19210,Dec-17,12583501,8651162
(주)와이지엔터테인먼트,122870,Dec-17,1729148,1456155
(주)와이티엔,40300,Dec-17,1927929,1927929
(주)우리기술,32820,Dec-17,1461518,1461518
(주)우리넷,115440,Dec-17,114189,114189
(주)우리로,46970,Dec-17,976118,766209
(주)우정바이오,215380,Dec-17,105598,105598
(주)우주일렉트로닉스,65680,Dec-17,585251,584077
(주)원익,32940,Dec-17,1383299,841181
(주)원익머트리얼즈,104830,Dec-17,296314,133574
(주)원익아이피에스,240810,Dec-17,179102,179102
(주)원익큐브,14190,Dec-17,1251452,859823
(주)원익큐엔씨,74600,Dec-17,521054,521055
(주)원익테라세미콘,123100,Dec-17,0,0
(주)원익피앤이,131390,Dec-17,6731,6483
(주)원익홀딩스,30530,Dec-17,1787826,1051254
(주)원일특강,12620,Dec-17,1517753,1499790
(주)원풍,8370,Dec-17,24164,799
(주)월덱스,101160,Dec-17,1951182,1381841
(주)웨이브일렉트로닉스,95270,Dec-17,224433,96040
(주)웰크론,65950,Dec-17,2732920,1106066
(주)웰크론한텍,76080,Dec-17,849406,411053
(주)웹스,196700,Dec-17,543289,482538
(주)웹젠,69080,Dec-17,21236,4382
(주)위니아,71460,Dec-17,3774318,3394635
(주)위닉스,44340,Dec-17,3148912,2628010
(주)위메이드,112040,Dec-17,2493873,0
(주)위메이드맥스,101730,Dec-17,2493872,12637
(주)위메이드플레이,123420,Dec-17,0,0
(주)위지트,36090,Dec-17,524967,524967
(주)윈스,136540,Dec-17,1010299,966364
(주)윈팩,97800,Dec-17,1942762,1942762
(주)윈하이텍,192390,Dec-17,559815,559815
(주)유니온커뮤니티,203450,Dec-17,196948,196948
(주)유니크,11320,Dec-17,1602397,1602397
(주)유니테스트,86390,Dec-17,386215,252135
(주)유니테크노,241690,Dec-17,160608,160608
(주)유니트론텍,142210,Dec-17,1226536,1226536
(주)유라테크,48430,Dec-17,0,0
(주)유바이오로직스,206650,Dec-17,231138,231138
(주)유비케어,32620,Dec-17,4971,0
