회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도
(주)세영디앤씨,52190,17-Dec,0,2000000,0,21615264,300000,5099844,2100000,31112426,0.241056226
(주)세운메디칼,100700,17-Dec,0,0,0,92164558,0,0,0,86062523,0
(주)세원물산,24830,17-Dec,0,9200000,0,252941769,0,9200000,0,252941769,0.036372008
(주)세중,39310,17-Dec,0,2000000,0,70970986,0,2000000,110000,115681226,0.018239779
(주)세진티에스,67770,17-Dec,0,0,0,43289897,0,0,0,44168218,0
(주)세코닉스,53450,17-Dec,26923549,42085600,13860068,302420251,45989741,58644898,18826434,343632178,0.359282631
(주)세토피아,222810,17-Dec,0,4000000,0,18780495,0,4000000,0,18780495,0.212986931
(주)세화피앤씨,252500,17-Dec,0,0,0,28319079,0,0,0,28319079,0
(주)셀루메드,49180,17-Dec,0,8270200,7223491,66121770,0,8633370,7759191,64983515,0.252257222
(주)셀바스에이아이,108860,17-Dec,10000000,6178000,0,67492191,15700000,23576235,0,106906184,0.367389739
(주)셀바스헬스케어,208370,17-Dec,5700000,5398235,12000000,55995230,5700000,5398235,12000000,54696398,0.422299015
(주)셀트리온제약,68760,17-Dec,48125000,89248608,6875000,469195117,48125000,89248608,6875000,470269310,0.306736172
(주)셀트리온헬스케어,91990,17-Dec,0,11269000,0,2914223177,0,11268939,0,2875003480,0.003919626
(주)셀피글로벌,68940,17-Dec,1500000,0,8626000,29821093,1500000,0,8626000,29821380,0.339555044
(주)소리바다,53110,17-Dec,0,1261000,0,53388090,300000,4782605,0,62490967,0.081333435
(주)소프트센,32680,17-Dec,0,3267057,0,80239657,0,3267057,0,80239657,0.040716238
(주)손오공,66910,17-Dec,0,1500000,0,46876389,7000000,1500000,1400000,60058075,0.164840448
(주)솔고바이오메디칼,43100,17-Dec,3000000,7315000,0,60461302,3500000,8061000,0,64743115,0.17856725
(주)솔루에타,154040,17-Dec,8500000,4000000,0,106741137,0,30390268,900000,201892913,0.154984479
(주)솔본,35610,17-Dec,0,0,0,129810904,0,6205173,0,187436714,0.03310543
(주)쇼박스,86980,17-Dec,0,0,0,201374548,0,0,0,203267261,0
(주)수산아이앤티,50960,17-Dec,0,0,0,71373432,0,0,0,71373432,0
(주)슈프리마,236200,17-Dec,0,0,0,103405578,0,0,0,103278676,0
(주)슈프리마에이치큐,94840,17-Dec,0,0,0,121964121,0,0,0,129283489,0
(주)슈피겐코리아,192440,17-Dec,0,0,0,220844960,0,5357000,0,257553469,0.020799565
(주)스마트솔루션즈,136510,17-Dec,0,0,6288000,41990120,0,6288000,0,41702389,0.150782729
(주)스맥,99440,17-Dec,22712110,9914357,9367872,196252413,23183530,14074357,9551876,204499981,0.228898618
(주)스카이문스테크놀로지,33790,17-Dec,3000000,0,0,63081247,3000000,0,0,62674030,0.047866716
(주)스킨앤스킨,159910,17-Dec,244670,209592,0,44591924,890930,2726081,1119000,50212555,0.094319259
(주)스타플렉스,115570,17-Dec,0,55027995,2600000,149125819,7971541,56744942,3213196,142665803,0.476145492
(주)스튜디오산타클로스엔터테인먼트,204630,17-Dec,0,0,0,52880427,0,690828,0,54659442,0.012638768
(주)스페이스솔루션,245030,17-Dec,,,,,0,0,0,0,#DIV/0!
(주)스페코,13810,17-Dec,1100000,25528727,2500000,100834769,1100000,33538376,2500000,99135240,0.374623353
(주)승일,49830,17-Dec,10000000,0,0,169038229,10000000,0,0,169038229,0.059158216
(주)시공테크,20710,17-Dec,0,0,0,119629427,0,192852,0,129465894,0.001489597
(주)시너지이노베이션,48870,17-Dec,3400000,15700000,10472,93224458,3400000,15700000,10472,106059255,0.180186746
(주)시노펙스,25320,17-Dec,0,20500000,0,136586152,5917519,34682283,0,150611300,0.269566772
(주)시스웍,269620,17-Dec,0,0,500000,35048507,0,0,500000,35182889,0.014211454
(주)시큐브,131090,17-Dec,0,0,0,33766058,0,0,0,33106158,0
(주)시티랩스,139050,17-Dec,0,0,0,42980146,865916,5200000,66660,54620991,0.112275078
(주)신진에스엠,138070,17-Dec,0,5200000,1966667,80493983,0,13271836,6566667,98551325,0.201301231
(주)신화콘텍,187270,17-Dec,9799730,10500000,5799940,84054432,15050870,10743969,5901924,89470579,0.354270234
(주)심텍,222800,17-Dec,10225000,52500000,41150000,577650601,63015758,72264362,52525273,728156876,0.257918862
(주)심텍홀딩스,36710,17-Dec,0,0,1100000,136814551,63015758,72264362,52525273,754085651,0.24905048
(주)싸이맥스,160980,17-Dec,0,3437000,15000000,139003729,3486300,3529518,15439060,147866098,0.151859543
(주)썬테크놀로지스,122800,17-Dec,4566400,969109,1278200,33447161,4566400,969109,1278200,32929432,0.20691851
(주)썸에이지,208640,17-Dec,0,0,0,28364183,0,0,0,28114639,0
(주)쎄노텍,222420,17-Dec,6487805,3000000,1812195,54409154,6487805,3000000,1812195,54409154,0.207685641
(주)쎄니트,37760,17-Dec,13795272,23565080,809287,114792575,13818918,31593487,23269,153682575,0.295646231
(주)쎄트렉아이,99320,17-Dec,0,0,0,64064801,0,0,0,70595677,0
(주)쎌바이오텍,49960,17-Dec,0,0,0,99181786,0,0,0,96476719,0
(주)쏠리드,50890,17-Dec,0,48013960,21120943,247161802,166665,65428715,21520939,280947024,0.310080946
(주)씨씨에스충북방송,66790,17-Dec,0,0,1025000,42463594,0,0,1025000,42450754,0.024145625
(주)씨에스,65770,17-Dec,0,0,0,50215298,0,0,0,50170235,0
(주)씨에스에이코스믹,83660,17-Dec,0,3300000,0,30328761,0,3300000,0,30762561,0.107273253
(주)씨엔플러스,115530,17-Dec,0,1790493,12901245,42349389,0,1758450,12901245,44500061,0.329430897
(주)씨엠에스에듀,225330,17-Dec,5500000,6000000,0,71014610,5500000,6000000,0,70652691,0.16276804
(주)씨유메디칼시스템,115480,17-Dec,491083,12014200,825981,61956029,491083,12014200,825981,61664992,0.21618853
(주)씨제이이엔엠,35760,17-Dec,0,0,0,1149206096,0,21770743,151912430,2801818454,0.061989446
(주)씨젠,96530,17-Dec,0,3000000,0,177274022,787171,6275267,689244,179723663,0.043131115
(주)씨티네트웍스,189540,17-Dec,,,,,0,0,0,0,#DIV/0!
(주)씨티씨바이오,60590,17-Dec,13023785,39269600,3482863,183582587,13023785,46070139,3482863,196899089,0.31781146
(주)씨티케이,260930,17-Dec,0,0,0,185263089,0,0,0,185225306,0
(주)아가방앤컴퍼니,13990,17-Dec,0,0,0,209610946,1080000,300000,0,211445069,0.006526518
(주)아나패스,123860,17-Dec,0,0,0,96625499,0,0,0,96625499,0
(주)아난티,25980,17-Dec,3040000,37520000,40000000,457003413,144232604,43120000,51738396,730382412,0.327350435
(주)아리온테크놀로지,58220,17-Dec,7000000,702089,6000000,65495521,7000000,702089,6000000,68569950,0.19982644
(주)아모텍,52710,17-Dec,61077695,48334890,18227775,401575882,61077695,50353677,18229352,394148895,0.328963815
(주)아미노로직스,74430,17-Dec,0,1000000,0,53098982,0,1000000,0,49371249,0.020254703
(주)아바코,83930,17-Dec,0,0,0,185591390,0,1703220,0,186316025,0.009141565
(주)아바텍,149950,17-Dec,0,0,0,150224726,0,0,0,150213583,0
(주)아스타,246720,17-Dec,0,0,0,15460302,0,5700500,0,23646565,0.241070955
(주)아스트,67390,17-Dec,16258040,38608080,9567992,230553103,48841300,44309083,9984732,310505612,0.332152177
(주)아시아경제,127710,17-Dec,0,0,0,83755392,1368330,1110000,241670,129002693,0.021084831
(주)아우딘퓨쳐스,227610,17-Dec,0,0,0,52672720,0,0,0,52672720,0
(주)아이디스,143160,17-Dec,0,0,0,161616940,0,0,0,163258361,0
(주)아이디스홀딩스,54800,17-Dec,36950000,68200000,2150000,278781262,36950000,68503900,2150000,774739599,0.138890409
(주)아이센스,99190,17-Dec,28274273,0,3779898,229745557,37875523,0,4149992,234077006,0.179537135
(주)아이씨디,40910,17-Dec,9052600,24870000,126400,237830610,9052600,24870000,126400,237851633,0.143152265
(주)아이앤씨테크놀로지,52860,17-Dec,2000000,0,12000000,59500034,2061050,650000,13408535,62120310,0.259489771
(주)아이에스시,95340,17-Dec,0,0,0,195314543,1378136,10800000,821853,211233455,0.06154323
(주)아이에스이커머스,69920,17-Dec,0,0,0,97041544,0,0,0,97041544,0
(주)아이에이,38880,17-Dec,1666660,11600000,12197919,79707977,9122956,15098800,13882364,85018705,0.448185138
(주)아이엠,101390,17-Dec,1775547,16800000,0,121616353,5506462,43263580,805350,136172605,0.364062889
(주)아이엠비씨,52220,17-Dec,0,0,0,62105451,0,0,500064,65406293,0.007645503
(주)아이엠텍,226350,17-Dec,5000000,1500000,408327,47664340,5000000,1650000,408327,47607120,0.148262004
(주)아이오케이컴퍼니,78860,17-Dec,0,850000,0,85408291,0,850000,0,84844704,0.010018304
(주)아이윈,90150,17-Dec,11765610,13367000,8921800,94053668,11765610,13367000,8921800,97244600,0.350193327
(주)아이윈플러스,123010,17-Dec,2039520,3960000,3022000,21820800,2039520,3960000,3022000,21820800,0.413436721
(주)아이즈비전,31310,17-Dec,0,0,0,75270980,0,16304474,3000000,130894359,0.147481329
(주)아이컴포넌트,59100,17-Dec,2000000,16398000,2506860,56512382,2000000,16398000,2506860,56512382,0.369916455
(주)아이톡시,52770,17-Dec,0,5770000,0,15293908,0,5770000,0,15293908,0.377274402
(주)아이티센,124500,17-Dec,6036667,16650000,4013333,82325904,6036667,20717057,4052183,172136603,0.178961978
(주)아이티엑스에이아이,99520,17-Dec,1137143,5805065,525714,27909280,1137143,5805065,525714,27909280,0.267578454
(주)아즈텍더블유비이,32080,17-Dec,3954339,5485768,1633161,101593818,3954339,5485768,1633161,101593818,0.10899549
(주)아진엑스텍,59120,17-Dec,500000,0,0,46145660,500000,0,0,46145660,0.010835255
(주)아프리카티비,67160,17-Dec,0,0,0,107453290,0,0,0,103442156,0
(주)안랩,53800,17-Dec,0,0,0,222453370,0,0,0,223620399,0
(주)안트로젠,65660,17-Dec,0,0,5126785,60298401,0,0,5126785,60298401,0.085023565
(주)알로이스,271400,17-Dec,,,,,0,0,0,0,#DIV/0!
(주)알에프세미,96610,17-Dec,6327800,22999717,564740,96051216,6327800,22999717,564740,93638264,0.319231217
