,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율
1266,1266,1266,(주)지에스이,53050,16-Dec,25551743,25551743.0,
1267,1267,1267,(주)지에스이,53050,17-Dec,30042520,30042520.0,17.575227646896742
1268,1268,1268,(주)지에스홈쇼핑,28150,16-Dec,837443754,811777281.0,
1269,1269,1269,(주)지에스홈쇼핑,28150,17-Dec,754966961,733619140.0,-9.848636712143898
1270,1270,1270,(주)지엔씨에너지,119850,16-Dec,63955098,63955098.0,
1271,1271,1271,(주)지엔씨에너지,119850,17-Dec,67881630,57218332.0,6.139513694436061
1272,1272,1272,(주)지엔코,65060,16-Dec,80128611,57753148.0,
1273,1273,1273,(주)지엔코,65060,17-Dec,150193464,60512794.0,87.44049363341642
1274,1274,1274,(주)지유온,111820,16-Dec,74793652,64871441.0,
1275,1275,1275,(주)지유온,111820,17-Dec,76294633,63382624.0,2.006829403115651
1276,1276,1276,(주)진로발효,18120,16-Dec,71826387,69933957.0,
1277,1277,1277,(주)진로발효,18120,17-Dec,77978081,76392906.0,8.564671365134924
1278,1278,1278,(주)진매트릭스,109820,16-Dec,12535527,11202111.0,
1279,1279,1279,(주)진매트릭스,109820,17-Dec,11080946,9689921.0,-11.603668517486343
1280,1280,1280,(주)진바이오텍,86060,16-Dec,27905005,15571870.0,
1281,1281,1281,(주)진바이오텍,86060,17-Dec,30971411,15528116.0,10.98873123298132
1282,1282,1282,(주)진성티이씨,36890,16-Dec,99606682,77616973.0,
1283,1283,1283,(주)진성티이씨,36890,17-Dec,124583598,89480951.0,25.075542622732883
1284,1284,1284,(주)차바이오텍,85660,16-Dec,463011778,81080253.0,
1285,1285,1285,(주)차바이오텍,85660,17-Dec,475060315,77457861.0,2.6022096137692685
1286,1286,1286,(주)창해에탄올,4650,16-Dec,140591413,36036473.0,
1287,1287,1287,(주)창해에탄올,4650,17-Dec,115755508,44759765.0,-17.665307197673584
1288,1288,1288,(주)체리부로,66360,16-Dec,67853657,51203627.0,
1289,1289,1289,(주)체리부로,66360,17-Dec,74654187,54135309.0,10.022348537529812
1290,1290,1290,(주)초록뱀미디어,47820,16-Dec,50834894,37836182.0,
1291,1291,1291,(주)초록뱀미디어,47820,17-Dec,42432567,32109480.0,-16.528660411881646
1292,1292,1292,(주)초록뱀이앤엠,131100,16-Dec,5832528,5826407.0,
1293,1293,1293,(주)초록뱀이앤엠,131100,17-Dec,8749339,8740221.0,50.009378437617436
1294,1294,1294,(주)초록뱀컴퍼니,52300,16-Dec,15116071,4612088.0,
1295,1295,1295,(주)초록뱀컴퍼니,52300,17-Dec,15674900,9658208.0,3.6969196559079487
1296,1296,1296,(주)칩스앤미디어,94360,16-Dec,23264195,23131394.0,
1297,1297,1297,(주)칩스앤미디어,94360,17-Dec,21035038,20982995.0,-9.581921919069192
1298,1298,1298,(주)카스,16920,16-Dec,70181206,55342622.0,
1299,1299,1299,(주)카스,16920,17-Dec,66242781,53059871.0,-5.611794416869953
1300,1300,1300,(주)카이노스메드,220250,16-Dec,610548,610548.0,
1301,1301,1301,(주)카이노스메드,220250,17-Dec,6864749,6864749.0,1024.3586089873359
1302,1302,1302,(주)캐스텍코리아,71850,16-Dec,108133340,82939969.0,
1303,1303,1303,(주)캐스텍코리아,71850,17-Dec,120824976,98913021.0,11.737023937298163
1304,1304,1304,(주)캠시스,50110,16-Dec,128252945,168994441.0,
1305,1305,1305,(주)캠시스,50110,17-Dec,154261634,146057048.0,20.279213861326916
1306,1306,1306,(주)컴투스,78340,16-Dec,654308373,645119352.0,
1307,1307,1307,(주)컴투스,78340,17-Dec,768017610,757215511.0,17.378539186139985
1308,1308,1308,(주)컴투스홀딩스,63080,16-Dec,59505197,42733169.0,
1309,1309,1309,(주)컴투스홀딩스,63080,17-Dec,36433390,21453853.0,-38.772759629717726
1310,1310,1310,(주)케미메디,205290,16-Dec,0,,
1311,1311,1311,(주)케미메디,205290,17-Dec,0,,
1312,1312,1312,(주)케스피온,79190,16-Dec,47332737,44549689.0,
1313,1313,1313,(주)케스피온,79190,17-Dec,44187006,46711036.0,-6.64599429354783
1314,1314,1314,(주)케어랩스,263700,16-Dec,5765036,5765036.0,
1315,1315,1315,(주)케어랩스,263700,17-Dec,15693715,13086604.0,172.22232437056766
1316,1316,1316,(주)케어젠,214370,16-Dec,182887114,141272170.0,
1317,1317,1317,(주)케어젠,214370,17-Dec,164082795,128777295.0,-10.281926697142808
1318,1318,1318,(주)케이사인,192250,16-Dec,61585514,59417150.0,
1319,1319,1319,(주)케이사인,192250,17-Dec,50634742,45421598.0,-17.781408790385345
1320,1320,1320,(주)케이씨씨건설,21320,16-Dec,632481851,632218524.0,
1321,1321,1321,(주)케이씨씨건설,21320,17-Dec,682467412,682207183.0,7.903082265675954
1322,1322,1322,(주)케이씨아이,36670,16-Dec,30259348,30259348.0,
1323,1323,1323,(주)케이씨아이,36670,17-Dec,31957772,31957772.0,5.612890271132076
1324,1324,1324,(주)케이씨에스,115500,16-Dec,24490183,24490183.0,
1325,1325,1325,(주)케이씨에스,115500,17-Dec,22978065,22978065.0,-6.174384242045072
1326,1326,1326,(주)케이씨티,89150,16-Dec,10959829,10959829.0,
1327,1327,1327,(주)케이씨티,89150,17-Dec,10444748,10444748.0,-4.69971748646808
1328,1328,1328,(주)케이씨피드,25880,16-Dec,51666667,50369117.0,
1329,1329,1329,(주)케이씨피드,25880,17-Dec,54743864,53756599.0,5.955865122865389
1330,1330,1330,(주)케이아이엔엑스,93320,16-Dec,35850084,29622243.0,
1331,1331,1331,(주)케이아이엔엑스,93320,17-Dec,39653262,33589785.0,10.608560917179432
1332,1332,1332,(주)케이에스피,73010,16-Dec,26143738,26143738.0,
1333,1333,1333,(주)케이에스피,73010,17-Dec,17335185,17335185.0,-33.692783334961504
1334,1334,1334,(주)케이에이치바텍,60720,16-Dec,188983178,108712134.0,
1335,1335,1335,(주)케이에이치바텍,60720,17-Dec,141261048,93900563.0,-25.25205179902309
1336,1336,1336,(주)케이엑스이노베이션,122450,16-Dec,110178770,15744396.0,
1337,1337,1337,(주)케이엑스이노베이션,122450,17-Dec,144972630,24018786.0,31.579459454847793
1338,1338,1338,(주)케이엑스하이텍,52900,16-Dec,24290709,23813160.0,
1339,1339,1339,(주)케이엑스하이텍,52900,17-Dec,24365720,25493178.0,0.30880531317549753
1340,1340,1340,(주)케이엔더블유,105330,16-Dec,39216698,23389809.0,
1341,1341,1341,(주)케이엔더블유,105330,17-Dec,40399851,27997776.0,3.0169623153892156
1342,1342,1342,(주)케이엔엔,58400,16-Dec,47383715,45397555.0,
1343,1343,1343,(주)케이엔엔,58400,17-Dec,46934917,45101173.0,-0.9471566338772774
1344,1344,1344,(주)케이엘넷,39420,16-Dec,11052086,10153572.0,
1345,1345,1345,(주)케이엘넷,39420,17-Dec,10066933,9213384.0,-8.913729046263308
1346,1346,1346,(주)케이엠,83550,16-Dec,61338808,36230577.0,
1347,1347,1347,(주)케이엠,83550,17-Dec,56189840,31991239.0,-8.394307238575616
1348,1348,1348,(주)케이엠더블유,32500,16-Dec,106559957,85443058.0,
1349,1349,1349,(주)케이엠더블유,32500,17-Dec,123828254,99813999.0,16.20524021044791
1350,1350,1350,(주)케이지모빌리언스,46440,16-Dec,310449171,309964717.0,
1351,1351,1351,(주)케이지모빌리언스,46440,17-Dec,327090087,311350507.0,5.360270715620619
1352,1352,1352,(주)케이지이니시스,35600,16-Dec,505980848,152104096.0,
