회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률2019
(주)비엔지티,32790,19-Dec,4906429,51911129,4771300,16099696,9.451593704
(주)비엘,142760,18-Dec,29375084,86066821,2388358,18567674,34.13055537
(주)비엘,142760,19-Dec,24368720,72876570,1948048,14422363,33.43834651
(주)비엘팜텍,65170,18-Dec,34578882,87686317,29095884,45933504,39.4347524
(주)비엘팜텍,65170,19-Dec,22420673,58869487,22087468,37321138,38.08538879
(주)비엠티,86670,18-Dec,22763655,76878609,22763655,76878609,29.60986846
(주)비엠티,86670,19-Dec,19676264,74362153,19676264,74362153,26.46005153
(주)비올,335890,19-Dec,0,0,,,#DIV/0!
(주)비즈니스온커뮤니케이션,138580,18-Dec,15037979,15037979,15037979,15037979,100
(주)비즈니스온커뮤니케이션,138580,19-Dec,15677354,15677354,15677354,15677354,100
(주)비츠로셀,82920,18-Dec,28356403,112596990,27656148,113080634,25.18397961
(주)비츠로셀,82920,19-Dec,35891856,133438199,34125768,129410384,26.89773713
