,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
70,70,70,70,(주)나이스디앤비,130580,18-Dec,56660361,51102350.0,10423254,8817160.0,9299592,7840104.0,,,
71,71,71,71,(주)나이스디앤비,130580,19-Dec,78675556,60523112.0,12798062,10084114.0,11280367,9097679.0,38.85466773,22.783748721848283,21.299590347619553
72,72,72,72,(주)나인테크,267320,18-Dec,0,,0,,0,,,,
73,73,73,73,(주)나인테크,267320,19-Dec,0,,0,,0,,,,
74,74,74,74,(주)내츄럴엔도텍,168330,18-Dec,61165965,58376529.0,-13587339,-9689427.0,-23238141,-16506112.0,,,
75,75,75,75,(주)내츄럴엔도텍,168330,19-Dec,48783961,46385446.0,-11129699,-8440259.0,-16008383,-15322638.0,-20.24329053,18.087721223412473,31.1116022576849
76,76,76,76,(주)네오리진,94860,18-Dec,14691632,14691632.0,-771579,-771579.0,-3781297,-3781297.0,,,
77,77,77,77,(주)네오리진,94860,19-Dec,14066760,14066760.0,258267,258267.0,-2726564,-2726564.0,-4.253251102,398.7524538558933,27.893418580978963
78,78,78,78,(주)네오셈,253590,18-Dec,0,,0,,0,,,,
79,79,79,79,(주)네오셈,253590,19-Dec,64170222,61104654.0,-3334110,-3351213.0,-1569501,-1740980.0,inf,#NAME?,#NAME?
80,80,80,80,(주)네오오토,212560,18-Dec,142507781,142507781.0,2422365,2422365.0,5798405,5798405.0,,,
81,81,81,81,(주)네오오토,212560,19-Dec,141061458,141061458.0,795115,795115.0,2497866,2497866.0,-1.014908091,-67.17608618024121,-56.921498239602094
82,82,82,82,(주)네오위즈,95660,18-Dec,366712258,369637231.0,22555606,11081403.0,33524295,-4753411.0,,,
83,83,83,83,(주)네오위즈,95660,19-Dec,398001624,364839362.0,32567478,16643538.0,27623322,6495544.0,8.532402536,44.387510581626586,-17.602079327842688
84,84,84,84,(주)네오위즈홀딩스,42420,18-Dec,590591987,306379044.0,21139486,-485440.0,43566139,-4969594.0,,,
85,85,85,85,(주)네오위즈홀딩스,42420,19-Dec,622123554,305733563.0,29418403,180113.0,40857864,5768056.0,5.338976433,39.16328429177512,-6.216467793944283
86,86,86,86,(주)네오크레마,311390,18-Dec,32286515,32286515.0,3266191,3266191.0,3561554,3561554.0,,,
87,87,87,87,(주)네오크레마,311390,19-Dec,47211442,45863302.0,665101,776937.0,1025691,1258938.0,46.22650354,-79.63680017,-71.20102629
88,88,88,88,(주)네오티스,85910,18-Dec,86639875,84260526.0,4693123,3513246.0,3178419,3000159.0,,,
89,89,89,89,(주)네오티스,85910,19-Dec,86911739,84509470.0,3357376,2645699.0,1456670,1372323.0,0.313786233,-28.46179399090968,-54.1699819941927
90,90,90,90,(주)네오팜,92730,18-Dec,72928484,74458661.0,19161762,19588203.0,15369685,15804253.0,,,
91,91,91,91,(주)네오팜,92730,19-Dec,122741537,123245965.0,22960501,23347953.0,19245382,18153826.0,68.30397434,19.824580850132676,25.21650248524937
92,92,92,92,(주)네오펙트,290660,18-Dec,35920416,41288317.0,-5238860,-2052684.0,-9634328,-9665824.0,,,
93,93,93,93,(주)네오펙트,290660,19-Dec,47016455,43811943.0,-13648970,-5148946.0,-15875139,-17139135.0,30.89061942,-160.5332076,-64.77681682
94,94,94,94,(주)네온테크,306620,18-Dec,0,,0,,0,,,,
95,95,95,95,(주)네온테크,306620,19-Dec,0,,0,,0,,,,
96,96,96,96,(주)네이블커뮤니케이션즈,153460,18-Dec,28037387,28037387.0,-2389050,-2389050.0,-2345577,-2345577.0,,,
97,97,97,97,(주)네이블커뮤니케이션즈,153460,19-Dec,25949215,25949215.0,-484726,-484726.0,-372930,-372930.0,-7.447812451,79.71051254682824,84.1007138115696
98,98,98,98,(주)네이처셀,7390,18-Dec,52875422,52875422.0,1227180,1227180.0,2234809,2234809.0,,,
99,99,99,99,(주)네이처셀,7390,19-Dec,93110328,93110328.0,1760569,1760569.0,902009,902009.0,76.09377756,43.464609918675336,-59.638206218070536
100,100,100,100,(주)네패스,33640,18-Dec,281991633,286763961.0,22028888,22900497.0,22949184,21916076.0,,,
