,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
83,83,(주)넥스트아이,137940,16-Dec,98887814,84181290.0,3696037,660358.0,3542939,1070111.0,,,
84,84,(주)넥스트아이,137940,17-Dec,138956473,112900563.0,1290427,-1018815.0,-2700789,-2569261.0,40.51930908,-65.08619908296373,-176.230186294486
85,85,(주)넥스트엔터테인먼트월드,160550,16-Dec,230523945,218017170.0,6642150,7857685.0,3565697,2515577.0,,,
86,86,(주)넥스트엔터테인먼트월드,160550,17-Dec,256463072,223093076.0,-5157021,-5300960.0,-7461325,-4091348.0,11.25224844,-177.64083918610692,-309.25291745204373
87,87,(주)넥슨게임즈,225570,16-Dec,0,,0,,0,,,0.0,0.0
88,88,(주)넥슨게임즈,225570,17-Dec,42988788,42988788.0,-3731660,-3731660.0,-3074434,-3074434.0,inf,0.0,0.0
89,89,(주)넵튠,217270,16-Dec,47885328,43886650.0,-3118452,-1041649.0,-3993819,-2146368.0,,,
90,90,(주)넵튠,217270,17-Dec,110288332,105560625.0,-8615886,-1928486.0,32090781,38706591.0,130.317587,-176.28727330098394,903.5111506054731
91,91,(주)노블엠앤비,106520,16-Dec,124085655,93648196.0,-22834860,-16273999.0,-48675871,-53658104.0,,,
92,92,(주)노블엠앤비,106520,17-Dec,118174546,97888905.0,-16187767,-13467464.0,-26087212,-28548691.0,-4.763732762,29.109409910986972,46.406275914405306
93,93,(주)녹십자셀,31390,16-Dec,51749174,44095108.0,771871,1679011.0,-93038,1333289.0,,,
94,94,(주)녹십자셀,31390,17-Dec,120409038,120409038.0,3188818,3188818.0,717889,717889.0,132.6781834,313.1283595315798,871.608375072551
95,95,(주)녹십자엠에스,142280,16-Dec,63605007,60320733.0,-1938985,-945341.0,-2559573,-2046520.0,,,
96,96,(주)녹십자엠에스,142280,17-Dec,61564417,57624087.0,133529,543209.0,-2344279,-2850890.0,-3.208222271,1552.1077818301642,8.411324857700874
