회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액2019
(주)대성미생물연구소,36480,19-Dec,16690947,25133940,16690947,25133940,66.4080005
(주)대성엘텍,25440,18-Dec,329044343,338326754,336516539,348076304,96.67895663
(주)대성엘텍,25440,19-Dec,360593226,364131618,370241621,377405556,98.10179398
(주)대성파인텍,104040,18-Dec,32568008,38587676,32568008,38587676,84.40002451
(주)대성파인텍,104040,19-Dec,32727623,37497863,32727623,37466323,87.35210819
(주)대원,7680,18-Dec,275216404,319582129,287544569,333043729,86.33838261
(주)대원,7680,19-Dec,128449750,153482069,213918448,248600434,86.04910481
(주)대유,290380,18-Dec,10376366,28744630,10376366,28744630,36.09845039
(주)대유,290380,19-Dec,11182553,29676591,11182553,29676591,37.68139339
(주)대유에이피,290120,18-Dec,174274023,193955817,174274023,193955817,89.85243428
(주)대유에이피,290120,19-Dec,136550221,155621706,137933455,157452770,87.60306662
(주)대창솔루션,96350,18-Dec,36370776,32180980,52321376,51667981,101.2646033
(주)대창솔루션,96350,19-Dec,43598102,48365618,57445200,65192868,88.11577365
(주)대창스틸,140520,18-Dec,216334290,228369357,216349615,228396166,94.72558966
(주)대창스틸,140520,19-Dec,185131668,197667730,185143002,197636280,93.67865151
(주)대한과학,131220,18-Dec,25571446,33984809,34462767,47055603,73.23839204
(주)대한과학,131220,19-Dec,29768017,38676690,41172486,55165316,74.63473245
(주)대호특수강,21040,18-Dec,192480465,209863691,192480465,209863691,91.71689685
(주)대호특수강,21040,19-Dec,190935857,204179606,190935857,204179606,93.51367688
(주)더 미동,161570,18-Dec,18724624,19560828,18497557,19602894,94.36135807
(주)더 미동,161570,19-Dec,23457200,24559154,23612761,24883150,94.89458127
(주)더블유아이,73570,18-Dec,4186778,4081422,10259603,19277934,53.21941137
(주)더블유아이,73570,19-Dec,16416777,24052132,16416777,24052132,68.25497632
(주)더블유에스아이,299170,18-Dec,,,0,0,#DIV/0!
(주)더블유에스아이,299170,19-Dec,,,0,0,#DIV/0!
(주)덕산테코피아,317330,18-Dec,36123801,70930351,36123801,70930351,50.92855243
(주)덕산테코피아,317330,19-Dec,35932335,61838936,35932335,61838936,58.10632803
(주)덕신하우징,90410,18-Dec,110688686,131099317,112691028,135363460,83.2507
(주)덕신하우징,90410,19-Dec,128091056,145648501,130582054,149006750,87.63499237
(주)데이타솔루션,263800,18-Dec,89036101,98116700,89036101,98116700,90.74510353
(주)데이타솔루션,263800,19-Dec,87430220,101169469,87430220,101169469,86.41956992
(주)덱스터스튜디오,206560,18-Dec,24846996,35739469,28124851,39216741,71.7164412
(주)덱스터스튜디오,206560,19-Dec,0,38294449,0,55482725,0
(주)덴티스,261200,18-Dec,,,0,0,#DIV/0!
(주)덴티스,261200,19-Dec,,,0,0,#DIV/0!
(주)동구바이오제약,6620,18-Dec,43447175,104837387,43447175,104837387,41.44244362
(주)동구바이오제약,6620,19-Dec,54546885,125235187,54546885,125235187,43.55555839
(주)동국알앤에스,75970,18-Dec,62836541,76379761,83420707,101618391,82.09213527
(주)동국알앤에스,75970,19-Dec,60384080,71822024,84700596,101828656,83.17952856
(주)동국에스엔씨,100130,18-Dec,153545436,165727686,345171932,363113418,95.05898567
(주)동국에스엔씨,100130,19-Dec,146313610,174461880,279038439,317847252,87.79010586
(주)동방선기,99410,18-Dec,17586755,17058634,17586755,17058634,103.0959161
(주)동방선기,99410,19-Dec,22223830,23630293,22223830,23630293,94.04805095
(주)동성화인텍,33500,18-Dec,171333557,185329974,175150571,188129063,93.10128281
(주)동성화인텍,33500,19-Dec,190058709,238406562,202339444,253271782,79.89024375
(주)동아엘텍,88130,18-Dec,105949629,131466999,202974220,253511129,80.06521086
(주)동아엘텍,88130,19-Dec,84269380,112102348,151527356,202944664,74.66437058
(주)동양에스텍,60380,18-Dec,152371300,160309679,177633679,189075199,93.9486934
(주)동양에스텍,60380,19-Dec,152407022,159756378,198379170,212129297,93.51804433
(주)동우팜투테이블,88910,18-Dec,217539112,250159235,217539112,250159235,86.96025633
(주)동우팜투테이블,88910,19-Dec,249025198,270567996,249025198,270567996,92.03793563
(주)동운아나텍,94170,18-Dec,36491980,46698555,36491980,46698555,78.14370273
(주)동운아나텍,94170,19-Dec,39337549,54763967,39337549,54763967,71.8310801
(주)동원개발,13120,18-Dec,435201812,607890976,435201812,607890976,71.59208299
(주)동원개발,13120,19-Dec,521534439,642628503,521534439,642628503,81.15644366
(주)동일기연,32960,18-Dec,18500831,26438736,18171060,26930368,67.47423578
(주)동일기연,32960,19-Dec,19032268,28889519,17950637,28951585,62.00225998
(주)동진쎄미켐,5290,18-Dec,519595599,632154575,674255872,827231162,81.5075523
(주)동진쎄미켐,5290,19-Dec,518814693,652641480,688847603,875254175,78.70257837
(주)두산테스나,131970,18-Dec,44152330,65267823,44152330,65267823,67.64792814
(주)두산테스나,131970,19-Dec,66388423,96831033,66388423,96831033,68.56110169
(주)듀오백,73190,18-Dec,21830897,28484831,25101587,32678107,76.81469125
(주)듀오백,73190,19-Dec,20783433,28595364,23400817,31808599,73.56758152
(주)드래곤플라이,30350,18-Dec,0,6373655,0,6373655,0
(주)드래곤플라이,30350,19-Dec,0,6081313,0,6081313,0
(주)드림시큐리티,203650,18-Dec,17551750,24951235,19922718,28316767,70.35661239
(주)드림시큐리티,203650,19-Dec,16040318,22615520,21022203,28815881,72.95353212
(주)드림어스컴퍼니,60570,18-Dec,81924373,107695318,105166813,137849260,76.29116979
(주)드림어스컴퍼니,60570,19-Dec,147778454,174357763,166303132,196961163,84.4344791
(주)디딤,217620,18-Dec,44714701,93391889,45820493,97013239,47.23117532
(주)디딤,217620,19-Dec,61976420,118257663,64135869,125265879,51.1997916
(주)디모아,16670,18-Dec,2434694,8889174,3297898,15619906,21.11343052
(주)디모아,16670,19-Dec,244708,4633217,1451505,20405375,7.113346361
(주)디바이스이엔지,187870,18-Dec,66405272,93160425,66405272,93160425,71.28055931
(주)디바이스이엔지,187870,19-Dec,32353600,43228287,32353600,43228287,74.84358564
(주)디스플레이테크,66670,18-Dec,48947068,57286597,48947068,57286597,85.44244302
(주)디스플레이테크,66670,19-Dec,32683040,43569777,32683040,43569777,75.0130991
(주)디아크,78590,18-Dec,29571519,37763569,34210060,43385870,78.85069494
(주)디아크,78590,19-Dec,30179896,37772354,52308901,64599738,80.97385937
(주)디알젬,263690,18-Dec,40445847,56606738,40435554,56626161,71.40790279
(주)디알젬,263690,19-Dec,42792520,60226049,42685256,60087401,71.03861257
(주)디알텍,214680,18-Dec,24980202,43183164,24726739,44714337,55.29935287
(주)디알텍,214680,19-Dec,26531980,46786896,25917086,47845054,54.16878827
(주)디앤씨미디어,263720,18-Dec,0,32081829,0,32910222,0
(주)디앤씨미디어,263720,19-Dec,0,42139941,0,42139941,0
(주)디에스앤엘,141020,18-Dec,9792624,11087403,20276298,25153821,80.60921639
(주)디에스앤엘,141020,19-Dec,437935,875623,34492044,38570359,89.42629754
(주)디에스케이,109740,18-Dec,87131130,117447230,87455736,117907273,74.17331754
(주)디에스케이,109740,19-Dec,57097473,76019403,57170220,76480134,74.75172572
(주)디에이테크놀로지,196490,18-Dec,79961491,91110422,79451375,92133286,86.23525595
(주)디에이테크놀로지,196490,19-Dec,93407993,107549535,93939660,108845736,86.3053193
(주)디에이피,66900,18-Dec,282126935,304108132,282126935,304108132,92.7719141
(주)디에이피,66900,19-Dec,259023132,270484203,259023132,270484203,95.76275772
(주)디엔에이링크,127120,18-Dec,8858156,12094514,10999879,14876023,73.94368105
(주)디엔에이링크,127120,19-Dec,11261979,13471617,12619029,15572845,81.03226482
(주)디엔에프,92070,18-Dec,44261153,74242592,44261153,74242592,59.61692851
(주)디엔에프,92070,19-Dec,38056331,58814557,38056331,58814557,64.70563231
(주)디엠에스,68790,18-Dec,234998474,293684096,222750210,298717912,74.56874899
(주)디엠에스,68790,19-Dec,149843810,193234089,130906502,196206589,66.71870841
(주)디오,39840,18-Dec,24328790,71369828,28430567,91043124,31.22758288
(주)디오,39840,19-Dec,23876894,87716698,31500244,127165199,24.77111997
(주)디와이디,219550,18-Dec,33699101,54157675,33699101,54157675,62.22405412
(주)디와이디,219550,19-Dec,31784471,48109003,31783982,48109003,66.0665988
(주)디이엔티,79810,18-Dec,79625975,74849074,77324519,74958203,103.1568473
(주)디이엔티,79810,19-Dec,30153815,29443763,29496770,29668977,99.41957217
(주)디지아이,43360,18-Dec,15469675,21067104,15469675,21067104,73.4304772
(주)디지아이,43360,19-Dec,11736958,15369640,11736958,15369640,76.36456026
(주)디지캡,197140,18-Dec,12839874,18022795,12839874,18022795,71.24241273
(주)디지캡,197140,19-Dec,14071362,19282616,16915036,23851999,70.91663889
(주)디지털대성,68930,18-Dec,31832528,58651268,53178787,106906093,49.74345756
(주)디지털대성,68930,19-Dec,49470864,89600446,73009258,140630621,51.91561943
(주)디지틀조선일보,33130,18-Dec,27086732,37853975,27040582,39679633,68.14725832
(주)디지틀조선일보,33130,19-Dec,25208792,31849762,25208792,33842796,74.4879117
