회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원)
(주)디이엔티,79810,17-Dec,74466203,46226515,28239688,10754251
(주)디지아이,43360,16-Dec,52581072,4014155,48566917,353649
(주)디지아이,43360,17-Dec,52592359,3897898,48694461,353608
(주)디지털대성,68930,16-Dec,94624662,27076301,67548361,9604804
(주)디지털대성,68930,17-Dec,104580458,30409620,74170838,9235775
(주)디지틀조선일보,33130,16-Dec,71806142,6294595,65511547,4764146
(주)디지틀조선일보,33130,17-Dec,77156024,7525459,69630565,6341222
(주)디티앤씨,187220,16-Dec,110710051,39886590,70823461,11266364
(주)디티앤씨,187220,17-Dec,122555588,47787721,74767867,10214953
(주)딜리,131180,16-Dec,58262673,2779150,55483523,7957305
(주)딜리,131180,17-Dec,61374023,4725182,56648841,6340625
(주)라이온켐텍,171120,16-Dec,127479260,20768064,106711196,26375195
(주)라이온켐텍,171120,17-Dec,125271867,17655614,107616253,26962054
(주)라이트론,69540,16-Dec,60922124,19411040,41511085,5131669
(주)라이트론,69540,17-Dec,75473002,34423785,41049217,4326221
(주)랩지노믹스,84650,16-Dec,43212023,18172817,25039206,9707821
(주)랩지노믹스,84650,17-Dec,39868778,17520939,22347838,495366
(주)러셀,217500,16-Dec,0,0,0,0
(주)러셀,217500,17-Dec,0,0,0,0
(주)레고켐바이오사이언스,141080,16-Dec,89550609,29490285,60060324,2968350
(주)레고켐바이오사이언스,141080,17-Dec,82238442,32773447,49464996,8622873
(주)레드로버,60300,16-Dec,165024991,20259025,144765967,4472494
(주)레드로버,60300,17-Dec,163349500,19621521,143727979,5660082
(주)레드캡투어,38390,16-Dec,418756635,283003892,135752744,5003826
(주)레드캡투어,38390,17-Dec,448479567,308761068,139718499,18472907
(주)레이언스,228850,16-Dec,190357988,24309837,166048152,9093194
(주)레이언스,228850,17-Dec,196450492,19467237,176983255,20740352
(주)레이크머티리얼즈,281740,17-Dec,0,0,0,0
(주)로보로보,215100,16-Dec,0,0,0,0
(주)로보로보,215100,17-Dec,24459706,2715777,21743929,2204993
(주)로보스타,90360,16-Dec,133973844,90094205,43879639,15599720
(주)로보스타,90360,17-Dec,130234776,79974505,50260272,15651101
(주)로지시스,67730,16-Dec,24105605,7758529,16347076,13508546
(주)로지시스,67730,17-Dec,26178335,9939460,16238876,11826579
(주)루멘스,38060,16-Dec,349895917,136037035,213858882,68086668
(주)루멘스,38060,17-Dec,345508438,123435724,222072714,55516557
(주)루트로닉,85370,16-Dec,191711949,56277452,135434498,10058057
(주)루트로닉,85370,17-Dec,196722409,63619526,133102883,6116048
(주)룽투코리아,60240,16-Dec,125601280,55251174,70350105,5025003
(주)룽투코리아,60240,17-Dec,120692100,39130192,81561908,7317735
(주)리노스,39980,16-Dec,105085937,36036438,69049499,19186316
(주)리노스,39980,17-Dec,96505003,23506210,72998792,9864498
(주)리더스코스메틱,16100,16-Dec,190623989,70451332,120172657,17558402
(주)리더스코스메틱,16100,17-Dec,192932507,83781828,109150680,34402877
(주)리드,197210,16-Dec,51608773,37836969,13771804,3711790
(주)리드,197210,17-Dec,42703334,34924907,7778427,3182771
(주)리드코프,12700,16-Dec,946103864,661380148,284723715,25587120
(주)리드코프,12700,17-Dec,1114804846,797497486,317307360,21389974
(주)링네트,42500,16-Dec,87307939,36577124,50730815,11023676
(주)링네트,42500,17-Dec,85250503,30331875,54918628,15524398
(주)링크제니시스,219420,16-Dec,12069217,2391719,9677498,2550381
(주)링크제니시스,219420,17-Dec,15290331,1946695,13343636,2023069
(주)마이크로컨텍솔루션,98120,16-Dec,44740847,3729830,41011017,3948513
(주)마이크로컨텍솔루션,98120,17-Dec,41284657,4353547,36931110,3836253
(주)마이크로프랜드,147760,16-Dec,55246728,13072707,42174021,27093256
(주)마이크로프랜드,147760,17-Dec,56111035,8072341,48038694,16729565
(주)마크로젠,38290,16-Dec,159523111,75655522,83867589,27288992
(주)마크로젠,38290,17-Dec,178707402,83534282,95173119,43648574
(주)맘스터치앤컴퍼니,220630,16-Dec,74872398,31723634,43148764,21915288
(주)맘스터치앤컴퍼니,220630,17-Dec,104782364,47847332,56935033,13030828
(주)매직마이크로,127160,16-Dec,95243648,62065249,33178399,8736098
(주)매직마이크로,127160,17-Dec,92684328,58786951,33897377,467802
(주)매커스,93520,16-Dec,80310030,39250270,41059760,9402370
(주)매커스,93520,17-Dec,84880295,37920780,46959515,16981548
(주)맥스로텍,141070,16-Dec,79364972,45015546,34349427,3497415
(주)맥스로텍,141070,17-Dec,83603254,49899588,33703666,6341189
(주)멀티캠퍼스,67280,16-Dec,108376665,30341068,78035597,17445793
(주)멀티캠퍼스,67280,17-Dec,116933657,30870513,86063144,21914152
(주)메디아나,41920,16-Dec,54286539,11538150,42748390,11319680
(주)메디아나,41920,17-Dec,55899309,9056198,46843111,8985043
(주)메디콕스,54180,16-Jun,47501946,25803092,21698854,1872565
(주)메디콕스,54180,17-Jun,55276578,36163802,19112776,7809016
(주)메디톡스,86900,16-Dec,324030421,176351801,147678619,15918095
(주)메디톡스,86900,17-Dec,389129325,184419224,204710101,27002451
(주)메디프론디비티,65650,16-Dec,27752725,2179663,25573062,2184827
(주)메디프론디비티,65650,17-Dec,26243666,1493765,24749901,3518535
(주)메지온,140410,16-Dec,95899262,43089944,52809318,20594583
(주)메지온,140410,17-Dec,74038036,20868778,53169258,32067979
(주)메카로,241770,16-Dec,46393563,22625854,23767709,5549963
(주)메카로,241770,17-Dec,139563314,19574646,119988668,89161251
(주)메타바이오메드,59210,16-Dec,120076739,67249556,52827183,3522319
(주)메타바이오메드,59210,17-Dec,119664761,72388060,47276701,5472769
(주)멕아이씨에스,58110,16-Dec,25034699,15171903,9862796,5383450
(주)멕아이씨에스,58110,17-Dec,22742806,14845948,7896858,3551714
(주)멜파스,96640,16-Dec,152386728,57539565,94847163,2957130
(주)멜파스,96640,17-Dec,120391705,51254892,69136813,1342192
(주)모다,149940,16-Dec,223205449,154361955,68843493,13051336
(주)모다,149940,17-Dec,385010091,279648351,105361740,34749862
(주)모다이노칩,80420,16-Dec,587888975,337249727,250639248,43323197
(주)모다이노칩,80420,17-Dec,655118222,364049395,291068828,55957604
(주)모두투어네트워크,80160,16-Dec,210376977,109599677,100777301,58342008
(주)모두투어네트워크,80160,17-Dec,338240134,177076107,161164028,53139729
(주)모바일리더,100030,16-Dec,34015404,2213286,31802117,2247259
(주)모바일리더,100030,17-Dec,32019617,2146347,29873270,1946667
(주)모베이스,101330,16-Dec,247707378,40557335,207150043,43475716
(주)모베이스,101330,17-Dec,250446108,43477603,206968505,38637646
