,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결),총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율
1003,대한약품공업(주),23910,19-Dec,25.61,16.69,5.15,-1.23,23.76,50.08,12.88,37.87,0.56,74.76,16.25,56.25,37.03,0.7,5.87,6.33,35.25,18.34,4.43,8.28,1.37,64.75,48.01,260.16,5559.18,213.45,27.71,104.96,1.93,-7.12,11.7,0.13627145237131935,0.32439081747685783,8.392436074930904,0.11410349647498642,0.18163088568575347,0.011092267166402651,0.6756091825231422,135721530,0.15321384312492378,0.6627434686253878
1004,대화제약(주),67080,19-Dec,84.09,7.92,2.52,58.55,4.56,6.36,31.02,1.57,3.18,77.73,3.14,12.58,29.26,0.7,-2.24,4.06,42.43,13.49,6.91,7.23,1.73,57.57,97.67,70.43,870.76,46.14,-12.58,3.82,1.42,19.71,5.53,0.03748378415491759,0.4941134289241232,8.220488230158809,0.05460254639062606,0.016236324136998947,0.04827137591026631,0.5058865770947025,116367873,0.3699736372791081,0.3108499897063033
1005,더이앤엠(주),89230,19-Dec,36.86,-8.97,42.31,-121.98,14.31,19.93,14.23,2.77,0.95,197.6,6.56,4.35,7.41,0.54,108.98,45.03,78.21,-8.82,8.1,1216.64,19.82,21.79,49.03,163.79,574.34,163.79,15.78,15.84,1.19,47.32,-4.83,0.08084332170353074,0.32898644203768584,7.989859507582514,-0.04110610197257068,0.03918683753736765,0.08881288037252491,0.6710135579623141,58116342,0.6056567921615492,0.07350770400976275
1006,덕산네오룩스(주),213420,19-Dec,10.04,19.57,13.09,1.83,15.49,70.93,0.73,899.04,-1.18,86.28,8.36,20.38,22.17,0.57,8.68,7.92,33.99,12.73,10.6,4.19,1.97,66.01,13.36,488.11,3330.75,343.6,34.38,242.2,4.8,2.17,11.21,0.11450766522799667,0.1178540207548379,8.258424105303558,0.10565843833616695,0.21457319904177893,0.0010807166602677582,0.8821459792451621,102905107,0.1277530943079969,0.3367396613266334
1007,덕산하이메탈(주),77360,19-Dec,4.14,21.68,7.09,-7.5,14.94,75.93,0.8,167.01,-1.96,90.89,3.68,11.39,11.66,0.25,-0.2,8.38,21.75,5.67,5.63,6.85,2.03,78.25,5.09,703.27,4452.1,603.51,23.77,472.45,6.01,251.12,5.52,0.01942799396018201,0.04844705501538206,8.32256780027086,0.05339818032271569,0.18615613270651274,0.0024011866373850684,0.951552944984618,151929531,0.13857033389142298,0.9241355885799963
1008,덕우전자(주),263600,19-Dec,33.06,7.09,15.42,0.0,5.09,22.08,6.38,17.47,0.4,78.86,5.55,21.4,32.62,1.17,24.33,46.36,20.85,10.43,11.62,12.08,2.69,79.15,33.55,226.21,1106.13,188.23,31.24,110.05,5.0,499.18,8.27,0.10407257173306297,0.2511889158614899,8.074879609813035,0.0772124216510223,0.27244545345217924,0.0237121176787829,0.7488110841385102,52278641,0.11292159994242576,0.4834877091658073
1009,데브시스터즈(주),194480,19-Dec,6.49,-36.97,-8.9,0.0,6.87,12.3,1.27,-260.78,-2.35,626.97,2.09,6.71,16.56,0.29,-4.01,5.29,0.0,-12.1,10.83,199.66,10.3,0.0,20.52,1306.77,1839.02,1303.79,64.94,108.84,1.9,0.0,-10.74,-0.17977492399481504,0.17025131450376574,8.091344570362493,-0.11262033089055712,0.0585682215994497,0.0040491784201517,0.8297486854962343,36631318,1.5900942164818,-0.0636719197225841
1010,도이치모터스(주),67990,19-Dec,163.75,4.66,35.02,66.91,7.39,16.47,49.25,7.81,0.83,84.25,11.1,89.04,20.11,1.73,30.34,14.21,13.06,26.2,97.17,15.3,4.66,86.94,206.94,78.97,1769.37,67.16,-11.22,19.84,2.58,63.78,8.04,0.10304609726326225,0.6742022469590772,8.905458105860012,0.07000095407093707,0.10583072304619595,0.019580985341138106,0.32579775304092284,373344789,0.06207312429074807,0.19964908096605408
1011,동국산업(주),5160,19-Dec,32.25,2.68,-3.67,28.94,2.72,8.23,10.29,9.76,0.29,37.0,2.44,12.42,14.71,0.88,3.45,-11.1,12.49,3.58,5.69,4.11,2.17,87.51,42.1,220.37,705.38,123.39,27.32,20.82,2.79,122.81,2.36,0.043728947379934234,0.29629068023118715,8.87674469087062,0.02401856571925171,0.04725992193162529,0.015126412507353661,0.7037093210969879,376360443,0.07599867934424273,0.2091865913750455
1012,동국제약(주),86450,19-Dec,28.54,12.24,13.36,19.94,10.65,32.3,11.07,110.8,-0.42,116.84,9.43,21.33,30.99,0.94,12.85,20.33,60.3,16.66,4.68,7.76,3.23,39.7,41.24,308.17,1604.56,252.84,42.07,63.87,3.14,24.44,11.53,0.12598554983087856,0.2920076113927975,8.73590530449555,0.10847145674429705,0.1290637247674867,0.003893869121041514,0.7079923886072025,205361546,0.46083243316189487,0.6032136308062284
