종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"002070","남영비비안 ","9370","-630","-6.30","1073","8.73",,,"21095","0.44","200","2.13"
"025860","남해화학 ","8060","40","0.50","427","18.88",,,"7762","1.04","60","0.74"
"005720","넥센 ","8130","140","1.75","1432","5.68",,,"13305","0.61","55","0.68"
"005725","넥센우 ","4665","-30","-0.64",,,,,,,"60","1.29"
"002350","넥센타이어 ","13300","200","1.53","1234","10.78",,,"9976","1.33","80","0.60"
"002355","넥센타이어1우B ","5300","-20","-0.38",,,,,,,"85","1.60"
"110570","넥솔론 ","616","-1","-0.16","1787","0.34",,,"94","6.55","0","0.00"
"090350","노루페인트 ","8760","-30","-0.34","1600","5.48",,,"13253","0.66","200","2.28"
"090355","노루페인트우 ","8800","-70","-0.79",,,,,,,"205","2.33"
"000320","노루홀딩스 ","14550","-100","-0.68","6182","2.35",,,"25392","0.57","400","2.75"
"000327","노루홀딩스2우B ","17550","150","0.86",,,,,,,"405","2.31"
"000325","노루홀딩스우 ","14700","300","2.08",,,,,,,"405","2.76"
"006280","녹십자 ","146500","3500","2.45","8213","17.84",,,"81873","1.79","1750","1.19"
"005250","녹십자홀딩스 ","22500","750","3.45","1439","15.64",,,"14779","1.52","300","1.33"
"005255","녹십자홀딩스1우 ","20400","0","0.00",,,,,,,"305","1.50"
"005257","녹십자홀딩스2우 ","20000","0","0.00",,,,,,,"305","1.53"
"004370","농심 ","325500","-4500","-1.36","20291","16.04",,,"268798","1.21","4000","1.23"
"072710","농심홀딩스 ","113500","3000","2.71","10264","11.06",,,"167826","0.68","2000","1.76"
"023590","다우기술 ","18800","-700","-3.59","2382","7.89",,,"18960","0.99","150","0.80"
"020120","다우인큐브 ","2950","50","1.72","594","4.97",,,"1912","1.54","20","0.68"
"015590","대경기계 ","1245","40","3.32",,,,,"1078","1.15","0","0.00"
"019680","대교 ","8290","0","0.00","492","16.85",,,"6101","1.36","240","2.90"
"019685","대교우B ","5200","-40","-0.76",,,,,,,"250","4.81"
"006370","대구백화점 ","13500","100","0.75","713","18.93",,,"33967","0.40","400","2.96"
"004130","대덕GDS ","10900","-100","-0.91","935","11.66",,,"19980","0.55","300","2.75"
"004135","대덕GDS우 ","7250","10","0.14",,,,,,,"305","4.21"
"008060","대덕전자 ","7760","-20","-0.26","735","10.56",,,"9349","0.83","300","3.87"
"000490","대동공업 ","7070","10","0.14","161","43.91",,,"9600","0.74","50","0.71"
"008110","대동전자 ","4470","25","0.56",,,,,"11666","0.38","0","0.00"
"005750","대림B&Co ","8140","-210","-2.51","530","15.36",,,"9389","0.87","130","1.60"
"000210","대림산업 ","76400","-700","-0.91","5352","14.28",,,"112559","0.68","300","0.39"
"000215","대림산업우 ","28150","-150","-0.53",,,,,,,"350","1.24"
"004440","대림씨엔에스 ","21850","350","1.63","3359","6.50",,,"18397","1.19","0","0.00"
"006570","대림통상 ","6100","80","1.33",,,,,"7781","0.78","150","2.46"
"001680","대상 ","28600","150","0.53","1618","17.68",,,"22027","1.30","400","1.40"
"001689","대상3우B ","28150","900","3.30",,,,,,,"400","1.42"
"001685","대상우 ","13000","-100","-0.76",,,,,,,"410","3.15"
"084690","대상홀딩스 ","10850","350","3.33","658","16.49",,,"12712","0.85","170","1.57"
"084695","대상홀딩스우 ","7060","-10","-0.14",,,,,,,"180","2.55"
"128820","대성산업 ","4290","230","5.67",,,,,"2675","1.60","0","0.00"
"117580","대성에너지 ","6390","-10","-0.16","499","12.81",,,"10370","0.62","250","3.91"
"005620","대성합동지주 ","45400","250","0.55",,,,,"148074","0.31","0","0.00"
"016710","대성홀딩스 ","9960","-90","-0.90","1197","8.32",,,"23671","0.42","250","2.51"
"003540","대신증권 ","10400","-100","-0.95","1893","5.49",,,"19954","0.52","500","4.81"
"003547","대신증권2우B ","7200","30","0.42",,,,,,,"500","6.94"
"003545","대신증권우 ","7640","50","0.66",,,,,,,"550","7.20"
"009190","대양금속 ","4190","25","0.60",,,,,"462","9.07","0","0.00"
"014160","대영포장 ","935","2","0.21",,,,,"1206","0.78","0","0.00"
"047040","대우건설 ","5170","-80","-1.52","349","14.81",,,"6672","0.77","0","0.00"
"009320","대우부품 ","1535","40","2.68","29","52.93",,,"672","2.28","0","0.00"
"042660","대우조선해양 ","4480","0","0.00",,,,,"2731","1.64","0","0.00"
"003090","대웅 ","46600","-1150","-2.41","4533","10.28",,,"40026","1.16","500","1.07"
"069620","대웅제약 ","67100","-500","-0.74","4160","16.13",,,"41433","1.62","700","1.04"
"000430","대원강업 ","4660","-230","-4.70","305","15.28",,,"6764","0.69","125","2.68"
"006340","대원전선 ","1205","-5","-0.41","50","24.10",,,"1114","1.08","0","0.00"
"006345","대원전선우 ","2570","-25","-0.96",,,,,,,"0","0.00"
"003220","대원제약 ","18500","450","2.49","1011","18.30",,,"8392","2.20","200","1.08"
"024890","대원화성 ","2480","10","0.40","301","8.24",,,"1556","1.59","0","0.00"
"002880","대유에이텍 ","1520","10","0.66","131","11.60",,,"1228","1.24","40","2.63"
"000300","대유플러스 ","975","-6","-0.61",,,,,"1041","0.94","0","0.00"
"012800","대창 ","983","3","0.31",,,,,"1566","0.63","0","0.00"
"015230","대창단조 ","48250","0","0.00","7858","6.14",,,"71848","0.67","1300","2.69"
"001070","대한방직 ","74500","100","0.13",,,,,"154537","0.48","0","0.00"
"006650","대한유화 ","224000","-1000","-0.44","32463","6.90",,,"158361","1.41","3000","1.34"
"001440","대한전선 ","1840","5","0.27",,,,,"368","5.00","0","0.00"
"084010","대한제강 ","9060","-400","-4.23","1587","5.71",,,"16413","0.55","250","2.76"
"001790","대한제당 ","24200","-100","-0.41",,,,,"44149","0.55","450","1.86"
"001799","대한제당3우B ","20250","-100","-0.49",,,,,,,"475","2.35"
"001795","대한제당우 ","12700","-250","-1.93",,,,,,,"475","3.74"
"001130","대한제분 ","176500","-3000","-1.67","20293","8.70",,,"387185","0.46","2000","1.13"
"003490","대한항공 ","31250","550","1.79",,,,,"32280","0.97","0","0.00"
"003495","대한항공우 ","12950","150","1.17",,,,,,,"0","0.00"
"005880","대한해운 ","17700","-700","-3.80","1594","11.10",,,"23056","0.77","0","0.00"
"003830","대한화섬 ","104000","-500","-0.48",,,,,"311530","0.33","0","0.00"
"016090","대현 ","3780","45","1.20","187","20.21",,,"2589","1.46","35","0.93"
"069460","대호에이엘 ","1550","-15","-0.96",,,,,"885","1.75","0","0.00"
"012510","더존비즈온 ","22500","-150","-0.66","720","31.25",,,"4445","5.06","220","0.98"
"004830","덕성 ","5200","30","0.58","29","179.31",,,"3719","1.40","20","0.38"
"004835","덕성우 ","2680","30","1.13",,,,,,,"25","0.93"
"024900","덕양산업 ","1700","-10","-0.58","23","73.91",,,"1879","0.90","20","1.18"
"008000","도레이케미칼 ","19450","50","0.26","472","41.21",,,"6828","2.85","0","0.00"
"002150","도화엔지니어링 ","4860","-40","-0.82","538","9.03",,,"6819","0.71","150","3.09"
"001620","동국실업 ","2440","25","1.04","174","14.02",,,"6461","0.38","0","0.00"
"001230","동국제강 ","9710","-220","-2.22",,,,,"21551","0.45","0","0.00"
"023450","동남합성 ","63000","-2000","-3.08","3462","18.20",,,"41755","1.51","200","0.32"
"004140","동방 ","1895","25","1.34",,,,,"2986","0.63","10","0.53"
"007590","동방아그로 ","7070","-90","-1.26","491","14.40",,,"9027","0.78","220","3.11"
"012030","동부 ","710","-13","-1.80","77","9.22",,,"911","0.78","0","0.00"
"005960","동부건설 ","10800","100","0.93",,,,,"10254","1.05","0","0.00"
"005965","동부건설우 ","22100","-300","-1.34",,,,,,,"0","0.00"
"016380","동부제철 ","14300","150","1.06",,,,,"316","45.25","0","0.00"
"016385","동부제철우 ","30700","-700","-2.23",,,,,,,"0","0.00"
"016610","동부증권 ","3210","0","0.00",,,,,"14199","0.23","0","0.00"
